as_of,assumed_opponents,assumed_crowd_concentration,contest_share_given_actual_results,baseline_share_given_actual_results
2020-03-03,10000,5.0,1.6088241009726537e-294,0.0
2020-05-12,100,1.0,2.292345804516044e-34,5.37618583330436e-06
2020-05-12,1000,1.0,0.0,1.726412021200329e-47
2020-05-12,10000,1.0,0.0,0.0
2020-05-12,100,2.5,1.0103574174797034e-45,1.0924522115115877e-06
2020-05-12,1000,2.5,0.0,1.6418456505350404e-53
2020-05-12,10000,2.5,0.0,0.0
2020-05-12,100,5.0,9.504764193730605e-59,2.021673705196995e-06
2020-05-12,1000,5.0,0.0,2.7000537115149127e-50
2020-05-12,10000,5.0,0.0,0.0
2020-05-19,100,1.0,0.001394058528132101,2.3377212404931596e-42
2020-05-19,1000,1.0,3.001250358614502e-25,0.0
2020-05-19,10000,1.0,4.417615721589995e-233,0.0
2020-05-19,100,2.5,0.004016897268944357,5.971106787576632e-47
2020-05-19,1000,2.5,6.4274068125709325e-21,0.0
2020-05-19,10000,2.5,4.44264466068093e-190,0.0
2020-05-19,100,5.0,0.073294201711764,6.667228769040673e-43
2020-05-19,1000,5.0,5.910667230575566e-10,0.0
2020-05-19,10000,5.0,1.1460897019706886e-82,0.0
2020-06-09,100,1.0,0.0006308991228676575,1.3314933187784313e-46
2020-06-09,1000,1.0,2.5705598928055965e-28,0.0
2020-06-09,10000,1.0,2.457725866584781e-263,0.0
2020-06-09,100,2.5,0.007338043755058575,1.8780187515851474e-53
2020-06-09,1000,2.5,1.9271938374017673e-18,0.0
2020-06-09,10000,2.5,1.7855074188521393e-165,0.0
2020-06-09,100,5.0,0.196663952139435,2.998971571868663e-51
2020-06-09,1000,5.0,2.4611003242714676e-06,0.0
2020-06-09,10000,5.0,1.0551505047174513e-47,0.0
2020-06-23,100,1.0,9.803399413138397e-187,0.14141609489765214
2020-06-23,1000,1.0,0.0,1.8413238566022557e-07
2020-06-23,10000,1.0,0.0,2.338500626831019e-58
2020-06-23,100,2.5,0.0,0.039833438048958995
2020-06-23,1000,2.5,0.0,3.048309886807722e-11
2020-06-23,10000,2.5,0.0,1.1644306847436515e-93
2020-06-23,100,5.0,0.0,0.05954079700153216
2020-06-23,1000,5.0,0.0,4.0294034617602175e-09
2020-06-23,10000,5.0,0.0,5.269587012927071e-72
2020-09-15,100,1.0,7.686545889348161e-13,2.3236460771249918e-35
2020-09-15,1000,1.0,2.948660644377686e-113,0.0
2020-09-15,10000,1.0,0.0,0.0
2020-09-15,100,2.5,1.24886082665941e-12,2.2235907872614822e-38
2020-09-15,1000,2.5,7.654175227055179e-111,0.0
2020-09-15,10000,2.5,0.0,0.0
2020-09-15,100,5.0,1.6012083422797569e-09,2.95515407477665e-33
2020-09-15,1000,5.0,2.4899338915858052e-80,4.50863336e-314
2020-09-15,10000,5.0,0.0,0.0
2020-09-22,100,1.0,0.017357058947192396,4.14054449565765e-112
2020-09-22,1000,1.0,9.228011370674028e-16,0.0
2020-09-22,10000,1.0,4.791751387544038e-140,0.0
2020-09-22,100,2.5,0.18343053852970767,4.987066565878715e-91
2020-09-22,1000,2.5,5.461842823211201e-07,0.0
2020-09-22,10000,2.5,4.603635376683728e-55,0.0
2020-09-22,100,5.0,0.5371222933161084,2.375247989544953e-70
2020-09-22,1000,5.0,0.0039175874229768854,0.0
2020-09-22,10000,5.0,8.440818690727134e-20,0.0
2020-09-29,100,1.0,8.902776809163247e-39,0.00279010861261163
2020-09-29,1000,1.0,0.0,1.5564377802310864e-22
2020-09-29,10000,1.0,0.0,2.816961968595472e-206
2020-09-29,100,2.5,5.559274031829832e-64,4.296277821961166e-05
2020-09-29,1000,2.5,0.0,1.259592358729126e-38
2020-09-29,10000,2.5,0.0,0.0
2020-09-29,100,5.0,8.774825016244435e-104,1.0534283094356412e-06
2020-09-29,1000,5.0,0.0,8.900096483543635e-53
2020-09-29,10000,5.0,0.0,0.0
2020-10-13,100,1.0,0.00021165917879619923,6.872606027811982e-09
2020-10-13,1000,1.0,5.2369575407413926e-33,2.282018895871969e-75
2020-10-13,10000,1.0,3.45228722333e-310,0.0
2020-10-13,100,2.5,1.5643379575217302e-05,1.4022141761611516e-11
2020-10-13,1000,2.5,3.393954960394531e-43,5.2077782729957486e-101
2020-10-13,10000,2.5,0.0,0.0
2020-10-13,100,5.0,6.442966101774236e-05,3.907209620404074e-11
2020-10-13,1000,5.0,3.7350733629792465e-37,4.539292758825644e-96
2020-10-13,10000,5.0,0.0,0.0
2020-10-20,100,1.0,9.526229378550922e-10,2.0985966508385038e-19
2020-10-20,1000,1.0,2.1374706612461903e-83,8.953450988985692e-178
2020-10-20,10000,1.0,0.0,0.0
2020-10-20,100,2.5,5.3458146061487424e-18,1.084825250753301e-36
2020-10-20,1000,2.5,1.7092476494972383e-163,0.0
2020-10-20,10000,2.5,0.0,0.0
2020-10-20,100,5.0,5.154963684616566e-22,2.931196288371355e-50
2020-10-20,1000,5.0,1.8897671444170936e-202,0.0
2020-10-20,10000,5.0,0.0,0.0
2020-10-27,100,1.0,6.16333243637251e-26,2.200998464759176e-46
2020-10-27,1000,1.0,2.613700845969922e-242,0.0
2020-10-27,10000,1.0,0.0,0.0
2020-10-27,100,2.5,2.2307234096473563e-30,4.7415121515518545e-57
2020-10-27,1000,2.5,7.02343260280138e-286,0.0
2020-10-27,10000,2.5,0.0,0.0
2020-10-27,100,5.0,2.4861835717305326e-31,2.3861483360357536e-65
2020-10-27,1000,5.0,8.569074813269502e-295,0.0
2020-10-27,10000,5.0,0.0,0.0
2020-11-03,100,1.0,4.30982710120848e-29,0.0007494180227742113
2020-11-03,1000,1.0,9.186151748816016e-274,6.702216900929438e-28
2020-11-03,10000,1.0,0.0,1.5296993926987456e-259
2020-11-03,100,2.5,2.3670947588526024e-47,1.4940855053981655e-06
2020-11-03,1000,2.5,0.0,8.648404592683644e-53
2020-11-03,10000,2.5,0.0,0.0
2020-11-03,100,5.0,3.4427775618762085e-77,1.556545353802004e-10
2020-11-03,1000,5.0,0.0,1.074585734246261e-90
2020-11-03,10000,5.0,0.0,0.0
2020-11-17,100,1.0,1.2638850887590239e-06,1.1131309292695771e-48
2020-11-17,1000,1.0,1.6713860786402596e-53,0.0
2020-11-17,10000,1.0,0.0,0.0
2020-11-17,100,2.5,5.107019305240862e-06,4.53828543830548e-58
2020-11-17,1000,2.5,3.0308619870957516e-47,0.0
2020-11-17,10000,2.5,0.0,0.0
2020-11-17,100,5.0,0.00012696548368330493,6.31185132722766e-67
2020-11-17,1000,5.0,1.2667635924547895e-33,0.0
2020-11-17,10000,5.0,1.1119186315e-314,0.0
2020-11-24,100,1.0,0.3928963093973977,4.686405179275713e-36
2020-11-24,1000,1.0,0.000255188106325873,0.0
2020-11-24,10000,1.0,1.2733874034639489e-30,0.0
2020-11-24,100,2.5,0.4228602326087179,2.857113965516251e-45
2020-11-24,1000,2.5,0.0005255448656167394,0.0
2020-11-24,10000,2.5,1.6390399065362106e-27,0.0
2020-11-24,100,5.0,0.6157926549392733,2.555192887062923e-46
2020-11-24,1000,5.0,0.012602085561014977,0.0
2020-11-24,10000,5.0,1.9341841498660406e-15,0.0
2020-12-01,100,1.0,1.1316488212189634e-15,1.1316488212189634e-15
2020-12-01,1000,1.0,2.4103660561204694e-141,2.4103660561204694e-141
2020-12-01,10000,1.0,0.0,0.0
2020-12-01,100,2.5,2.7274944032758617e-16,2.7274944032758617e-16
2020-12-01,1000,2.5,4.7704825657462484e-147,4.7704825657462484e-147
2020-12-01,10000,2.5,0.0,0.0
2020-12-01,100,5.0,3.0467245838675128e-15,3.0467245838675128e-15
2020-12-01,1000,5.0,2.8172389873872855e-136,2.8172389873872855e-136
2020-12-01,10000,5.0,0.0,0.0
2020-12-08,100,1.0,8.284428675342604e-09,8.284428675342604e-09
2020-12-08,1000,1.0,2.728248239963737e-74,2.728248239963737e-74
2020-12-08,10000,1.0,0.0,0.0
2020-12-08,100,2.5,2.1597771804821727e-09,2.1597771804821727e-09
2020-12-08,1000,2.5,2.2062089626258152e-79,2.2062089626258152e-79
2020-12-08,10000,2.5,0.0,0.0
2020-12-08,100,5.0,5.340301748940998e-09,5.340301748940998e-09
2020-12-08,1000,5.0,6.190547886755458e-75,6.190547886755458e-75
2020-12-08,10000,5.0,0.0,0.0
2020-12-29,100,1.0,1.0992898253547132e-166,7.764907584692337e-07
2020-12-29,1000,1.0,0.0,2.4892271665397024e-55
2020-12-29,10000,1.0,0.0,0.0
2020-12-29,100,2.5,1.3070553951227104e-271,8.020086759489877e-10
2020-12-29,1000,2.5,0.0,1.6560806998824665e-83
2020-12-29,10000,2.5,0.0,0.0
2020-12-29,100,5.0,0.0,3.5932082286068084e-10
2020-12-29,1000,5.0,0.0,3.147422815224973e-86
2020-12-29,10000,5.0,0.0,0.0
2021-01-05,100,1.0,2.5865688832698164e-25,8.219564256964145e-34
2021-01-05,1000,1.0,2.1017996585487122e-236,2.32744e-319
2021-01-05,10000,1.0,0.0,0.0
2021-01-05,100,2.5,2.790599800265595e-22,4.605668631311406e-31
2021-01-05,1000,2.5,5.529102907032938e-206,3.802780829002147e-291
2021-01-05,10000,2.5,0.0,0.0
2021-01-05,100,5.0,4.932708892950081e-23,3.884233752443163e-33
2021-01-05,1000,5.0,4.691429958440854e-213,4.34467706326275e-310
2021-01-05,10000,5.0,0.0,0.0
2021-01-12,100,1.0,1.1200265060426908e-30,3.6269905454358055e-55
2021-01-12,1000,1.0,2.4471789043076654e-289,0.0
2021-01-12,10000,1.0,0.0,0.0
2021-01-12,100,2.5,3.403772987935078e-32,3.3618480387999624e-61
2021-01-12,1000,2.5,4.517167404903108e-304,0.0
2021-01-12,10000,2.5,0.0,0.0
2021-01-12,100,5.0,9.399742847054884e-29,2.0435142497713437e-59
2021-01-12,1000,5.0,1.5762222279922195e-269,0.0
2021-01-12,10000,5.0,0.0,0.0
2021-01-26,100,1.0,1.9845596926153218e-25,2.4439198259857767e-09
2021-01-26,1000,1.0,1.8073597895870967e-237,1.815118197174271e-79
2021-01-26,10000,1.0,0.0,0.0
2021-01-26,100,2.5,5.632479003563231e-50,1.1305017073348206e-18
2021-01-26,1000,2.5,0.0,3.1072487913432197e-170
2021-01-26,10000,2.5,0.0,0.0
2021-01-26,100,5.0,2.918237696658218e-85,3.5765564316881767e-29
2021-01-26,1000,5.0,0.0,2.8509587929390774e-273
2021-01-26,10000,5.0,0.0,0.0
2021-02-09,100,1.0,0.01111745919969423,5.8571410894312845e-71
2021-02-09,1000,1.0,1.4901421449078848e-17,0.0
2021-02-09,10000,1.0,9.200472204324556e-158,0.0
2021-02-09,100,2.5,0.06610193751230788,8.990947095191931e-73
2021-02-09,1000,2.5,1.0316778442635567e-10,0.0
2021-02-09,10000,2.5,8.850751993411834e-91,0.0
2021-02-09,100,5.0,0.23260158589690466,7.732983717433656e-72
2021-02-09,1000,5.0,4.670064341158432e-06,0.0
2021-02-09,10000,5.0,5.185980650336324e-46,0.0
2021-02-16,100,1.0,4.0440376855620726e-75,3.863395692708461e-18
2021-02-16,1000,1.0,0.0,1.4600447235843916e-165
2021-02-16,10000,1.0,0.0,0.0
2021-02-16,100,2.5,1.296069168210782e-103,5.854838418204805e-21
2021-02-16,1000,2.5,0.0,1.538370792681279e-192
2021-02-16,10000,2.5,0.0,0.0
2021-02-16,100,5.0,1.8034574638604671e-159,1.3591251565178406e-22
2021-02-16,1000,5.0,0.0,7.659139359635866e-207
2021-02-16,10000,5.0,0.0,0.0
2021-02-23,100,1.0,9.586688448216595e-74,1.3604148967846326e-31
2021-02-23,1000,1.0,0.0,3.018806631478582e-298
2021-02-23,10000,1.0,0.0,0.0
2021-02-23,100,2.5,1.2443037376772273e-115,4.1850470292289374e-42
2021-02-23,1000,2.5,0.0,0.0
2021-02-23,10000,2.5,0.0,0.0
2021-02-23,100,5.0,2.9423712492089674e-184,5.659316429998423e-45
2021-02-23,1000,5.0,0.0,0.0
2021-02-23,10000,5.0,0.0,0.0
2021-03-02,100,1.0,1.9685123770599028e-06,2.5153198290469942e-12
2021-03-02,1000,1.0,3.8107862913273086e-52,6.531168011227105e-109
2021-03-02,10000,1.0,0.0,0.0
2021-03-02,100,2.5,2.5324583224662237e-08,4.079869430679288e-16
2021-03-02,1000,2.5,6.242912420714984e-70,8.32069499095817e-146
2021-03-02,10000,2.5,0.0,0.0
2021-03-02,100,5.0,9.963246143430334e-09,8.743269192953823e-18
2021-03-02,1000,5.0,2.2681528108488305e-73,7.509233522017764e-162
2021-03-02,10000,5.0,0.0,0.0
2021-03-16,100,1.0,3.007297820331885e-62,2.4023336398268498e-05
2021-03-16,1000,1.0,0.0,4.71785357563179e-41
2021-03-16,10000,1.0,0.0,0.0
2021-03-16,100,2.5,6.538869902155423e-111,6.04869344759589e-07
2021-03-16,1000,2.5,0.0,3.6471163095943865e-55
2021-03-16,10000,2.5,0.0,0.0
2021-03-16,100,5.0,1.996767076065965e-198,4.2130511859740946e-07
2021-03-16,1000,5.0,0.0,2.160835157841855e-55
2021-03-16,10000,5.0,0.0,0.0
2021-03-30,100,1.0,2.1363793530668542e-44,0.11231053399860837
2021-03-30,1000,1.0,0.0,6.528601430751753e-09
2021-03-30,10000,1.0,0.0,8.806107240726827e-74
2021-03-30,100,2.5,3.002421987942438e-63,0.07062327111542219
2021-03-30,1000,2.5,0.0,1.9717899203658857e-10
2021-03-30,10000,2.5,0.0,5.613253481435217e-88
2021-03-30,100,5.0,6.358394643868844e-94,0.06787719597640766
2021-03-30,1000,5.0,0.0,4.1716181364776195e-10
2021-03-30,10000,5.0,0.0,6.831110312297949e-84
2021-04-06,100,1.0,3.738179316557583e-05,2.9490334662273026e-14
2021-04-06,1000,1.0,5.698534875073928e-40,1.6084002319269194e-127
2021-04-06,10000,1.0,0.0,0.0
2021-04-06,100,2.5,1.5799474725977295e-05,5.871815576568589e-16
2021-04-06,1000,2.5,3.3969735737542245e-43,6.487316036633307e-144
2021-04-06,10000,2.5,0.0,0.0
2021-04-06,100,5.0,1.3897007200011789e-05,5.008007742334598e-17
2021-04-06,1000,5.0,2.488076249799378e-43,5.375936926823542e-154
2021-04-06,10000,5.0,0.0,0.0
2021-05-18,100,1.0,1.1832654699498427e-80,0.005333529557222133
2021-05-18,1000,1.0,0.0,5.673954084061522e-20
2021-05-18,10000,1.0,0.0,5.847836584306225e-181
2021-05-18,100,2.5,2.136119902823371e-127,0.00025003526680962687
2021-05-18,1000,2.5,0.0,1.6496919410529404e-31
2021-05-18,10000,2.5,0.0,2.2078263712165696e-294
2021-05-18,100,5.0,4.986165390298326e-195,8.12444393236505e-06
2021-05-18,1000,5.0,0.0,7.288365882688022e-45
2021-05-18,10000,5.0,0.0,0.0
2021-08-10,100,1.0,1.58752093101845e-20,8.721066815327719e-15
2021-08-10,1000,1.0,8.64958164308815e-189,1.5918437531583926e-132
2021-08-10,10000,1.0,0.0,0.0
2021-08-10,100,2.5,1.1309364710020117e-28,2.2053923685595458e-20
2021-08-10,1000,2.5,6.518174079630502e-269,3.8302541725944354e-187
2021-08-10,10000,2.5,0.0,0.0
2021-08-10,100,5.0,8.938261959776267e-39,2.1814242043365682e-27
2021-08-10,1000,5.0,0.0,4.537034479911795e-256
2021-08-10,10000,5.0,0.0,0.0
2021-08-17,100,1.0,2.872812431242721e-36,1.1889004684706065e-09
2021-08-17,1000,1.0,0.0,1.9573483253672327e-82
2021-08-17,10000,1.0,0.0,0.0
2021-08-17,100,2.5,8.004232217703164e-39,4.361603115632375e-09
2021-08-17,1000,2.5,0.0,1.4937188233099598e-76
2021-08-17,10000,2.5,0.0,0.0
2021-08-17,100,5.0,5.992707332079608e-42,2.4905512672044128e-08
2021-08-17,1000,5.0,0.0,1.1432175013670172e-68
2021-08-17,10000,5.0,0.0,0.0
2021-08-24,100,1.0,1.6940531964202103e-24,0.0003360332071223869
2021-08-24,1000,1.0,5.2761966416108447e-228,6.462876749077693e-31
2021-08-24,10000,1.0,0.0,3.48865955488297e-289
2021-08-24,100,2.5,1.3120616640700137e-37,7.011411083501678e-06
2021-08-24,1000,2.5,0.0,3.963870919029445e-46
2021-08-24,10000,2.5,0.0,0.0
2021-08-24,100,5.0,1.770215286094465e-46,1.590199761612801e-05
2021-08-24,1000,5.0,0.0,2.7565658890740628e-42
2021-08-24,10000,5.0,0.0,0.0
2021-09-07,100,1.0,1.8915342520259667e-52,4.6042330279106835e-08
2021-09-07,1000,1.0,0.0,2.282640698703035e-67
2021-09-07,10000,1.0,0.0,0.0
2021-09-07,100,2.5,6.562598877762095e-68,5.4629130339418454e-09
2021-09-07,1000,2.5,0.0,7.167177345226284e-76
2021-09-07,10000,2.5,0.0,0.0
2021-09-07,100,5.0,1.4872980466239112e-88,3.1177810247138024e-08
2021-09-07,1000,5.0,0.0,6.699060738603198e-68
2021-09-07,10000,5.0,0.0,0.0
2021-09-14,100,1.0,0.20039134569937647,1.657016665649736e-41
2021-09-14,1000,1.0,8.255522275565965e-07,0.0
2021-09-14,10000,1.0,7.624779346025458e-54,0.0
2021-09-14,100,2.5,0.3486490779218864,7.758353107464986e-46
2021-09-14,1000,2.5,9.61209345368092e-05,0.0
2021-09-14,10000,2.5,2.058134705257572e-34,0.0
2021-09-14,100,5.0,0.7635401735007173,1.5567605426389922e-46
2021-09-14,1000,5.0,0.08019473536663814,0.0
2021-09-14,10000,5.0,4.34124903231285e-09,0.0
2021-09-21,100,1.0,2.237441530075019e-67,3.594786160870298e-15
2021-09-21,1000,1.0,0.0,3.487641239922825e-136
2021-09-21,10000,1.0,0.0,0.0
2021-09-21,100,2.5,1.442331739650384e-104,7.655185140076706e-22
2021-09-21,1000,2.5,0.0,2.184076135054229e-201
2021-09-21,10000,2.5,0.0,0.0
2021-09-21,100,5.0,6.446561170483295e-165,4.6481645186216414e-26
2021-09-21,1000,5.0,0.0,2.001220846591304e-242
2021-09-21,10000,5.0,0.0,0.0
2021-09-28,100,1.0,2.01404273204074e-27,3.280567688352695e-13
2021-09-28,1000,1.0,4.2738231342252044e-257,7.208864238780133e-117
2021-09-28,10000,1.0,0.0,0.0
2021-09-28,100,2.5,2.031412287730083e-34,2.2350982193323845e-15
2021-09-28,1000,2.5,0.0,1.4383119232806673e-137
2021-09-28,10000,2.5,0.0,0.0
2021-09-28,100,5.0,2.4091184651499075e-35,1.503378094483464e-14
2021-09-28,1000,5.0,0.0,4.971731195973248e-129
2021-09-28,10000,5.0,0.0,0.0
2021-10-12,100,1.0,3.563765413069549e-12,7.407440791195906e-43
2021-10-12,1000,1.0,3.258665383454671e-107,0.0
2021-10-12,10000,1.0,0.0,0.0
2021-10-12,100,2.5,1.628978426190794e-11,3.8035786991112127e-47
2021-10-12,1000,2.5,1.76423679590712e-100,0.0
2021-10-12,10000,2.5,0.0,0.0
2021-10-12,100,5.0,3.230757884779946e-09,3.3915863883691486e-46
2021-10-12,1000,5.0,7.567388798410892e-78,0.0
2021-10-12,10000,5.0,0.0,0.0
2021-10-19,100,1.0,3.571063359176275e-60,1.7614927192967567e-33
2021-10-19,1000,1.0,0.0,1.40156676e-316
2021-10-19,10000,1.0,0.0,0.0
2021-10-19,100,2.5,3.382375897998645e-74,1.0222128322444303e-37
2021-10-19,1000,2.5,0.0,0.0
2021-10-19,10000,2.5,0.0,0.0
2021-10-19,100,5.0,1.9749903157297118e-72,8.751671388062463e-31
2021-10-19,1000,5.0,0.0,7.66663293420392e-289
2021-10-19,10000,5.0,0.0,0.0
2021-10-26,100,1.0,3.9169797237239014e-57,1.7957125730920787e-11
2021-10-26,1000,1.0,0.0,7.153474824687325e-100
2021-10-26,10000,1.0,0.0,0.0
2021-10-26,100,2.5,3.6502158789012e-104,4.558637672093955e-19
2021-10-26,1000,2.5,0.0,1.5673810757591322e-173
2021-10-26,10000,2.5,0.0,0.0
2021-10-26,100,5.0,4.881710512869141e-161,1.1903737498413969e-24
2021-10-26,1000,5.0,0.0,1.0485843449639834e-227
2021-10-26,10000,5.0,0.0,0.0
2021-11-02,100,1.0,0.019572050471892852,5.896570620849053e-14
2021-11-02,1000,1.0,2.0164444288442214e-15,1.5824036282095207e-124
2021-11-02,10000,1.0,6.414342652242624e-137,0.0
2021-11-02,100,2.5,0.016093809363765622,2.297634690557129e-16
2021-11-02,1000,2.5,5.770344545024263e-16,9.653060901123298e-148
2021-11-02,10000,2.5,6.571417272126994e-142,0.0
2021-11-02,100,5.0,0.04735859094197058,1.0269976868968101e-16
2021-11-02,1000,5.0,1.0362467590482998e-11,1.3366694005749618e-150
2021-11-02,10000,5.0,5.266622296954854e-100,0.0
2021-11-16,100,1.0,9.498473651115273e-18,6.849145043099687e-25
2021-11-16,1000,1.0,2.39146497151136e-161,1.450539930052745e-231
2021-11-16,10000,1.0,0.0,0.0
2021-11-16,100,2.5,2.162365610903231e-19,2.202988405138429e-28
2021-11-16,1000,2.5,5.896872088226351e-177,2.5598721556877624e-265
2021-11-16,10000,2.5,0.0,0.0
2021-11-16,100,5.0,3.28621367005273e-16,1.8304358709527493e-25
2021-11-16,1000,5.0,4.588085785239835e-145,2.3255486328563915e-235
2021-11-16,10000,5.0,0.0,0.0
2021-11-23,100,1.0,1.0132755074500196e-32,6.295095153321078e-24
2021-11-23,1000,1.0,9.73871586859786e-310,2.3807881750363603e-222
2021-11-23,10000,1.0,0.0,0.0
2021-11-23,100,2.5,4.209920778320988e-34,1.446501167054044e-24
2021-11-23,1000,2.5,3.5e-323,1.879567824440937e-228
2021-11-23,10000,2.5,0.0,0.0
2021-11-23,100,5.0,4.7603815801212256e-33,4.613060454953252e-23
2021-11-23,1000,5.0,1.88283611852e-312,2.955004961328807e-213
2021-11-23,10000,5.0,0.0,0.0
2021-11-30,100,1.0,8.70997054798522e-36,3.2320718523833675e-19
2021-11-30,1000,1.0,0.0,5.784140204868912e-176
2021-11-30,10000,1.0,0.0,0.0
2021-11-30,100,2.5,9.133422895409243e-43,5.59139155362968e-22
2021-11-30,1000,2.5,0.0,7.518395267606507e-203
2021-11-30,10000,2.5,0.0,0.0
2021-11-30,100,5.0,1.8330864910474688e-47,1.7544172798111945e-21
2021-11-30,1000,5.0,0.0,2.5032241056879792e-197
2021-11-30,10000,5.0,0.0,0.0
2021-12-07,100,1.0,3.0109235343429707e-13,5.094948031337445e-49
2021-12-07,1000,1.0,7.613939505608705e-117,0.0
2021-12-07,10000,1.0,0.0,0.0
2021-12-07,100,2.5,6.076481371156507e-09,2.238839267735864e-45
2021-12-07,1000,2.5,3.3451815531211516e-74,0.0
2021-12-07,10000,2.5,0.0,0.0
2021-12-07,100,5.0,2.491417933013502e-05,1.3744437804481729e-40
2021-12-07,1000,5.0,5.57005345378035e-39,0.0
2021-12-07,10000,5.0,0.0,0.0
2022-01-04,100,1.0,1.3028132589991716e-10,8.514552739104106e-21
2022-01-04,1000,1.0,7.672948186337242e-92,1.4640920906315747e-191
2022-01-04,10000,1.0,0.0,0.0
2022-01-04,100,2.5,6.50620757136092e-10,1.4750684198388762e-21
2022-01-04,1000,2.5,1.6001212448326427e-84,1.9980065477978797e-198
2022-01-04,10000,2.5,0.0,0.0
2022-01-04,100,5.0,9.400766831345144e-08,6.012901720037014e-21
2022-01-04,1000,5.0,7.502640173461632e-63,2.7302737622380843e-191
2022-01-04,10000,5.0,0.0,0.0
2022-01-11,100,1.0,0.2330268476997522,9.007231966742273e-11
2022-01-11,1000,1.0,3.0461040771187996e-06,1.6002674635742861e-93
2022-01-11,10000,1.0,1.874027969766251e-48,0.0
2022-01-11,100,2.5,0.10601217527634096,1.0479704999538193e-15
2022-01-11,1000,2.5,5.246561252490806e-09,2.4836483050352962e-141
2022-01-11,10000,2.5,2.173008283849555e-74,0.0
2022-01-11,100,5.0,0.17483636539723357,9.841830212751353e-16
2022-01-11,1000,5.0,3.9857360692075065e-07,4.363726037476178e-141
2022-01-11,10000,5.0,2.9970350967726536e-56,0.0
2022-01-18,100,1.0,2.338377257704451e-131,1.906046814642435e-23
2022-01-18,1000,1.0,0.0,1.1240679972211671e-217
2022-01-18,10000,1.0,0.0,0.0
2022-01-18,100,2.5,2.276383538192943e-213,1.1836628057480877e-30
2022-01-18,1000,2.5,0.0,2.1859205799536066e-288
2022-01-18,10000,2.5,0.0,0.0
2022-01-18,100,5.0,0.0,6.336037689309038e-37
2022-01-18,1000,5.0,0.0,0.0
2022-01-18,10000,5.0,0.0,0.0
2022-02-01,100,1.0,2.2166050083757265e-108,2.0194233496380696e-23
2022-02-01,1000,1.0,0.0,1.4894975724405494e-217
2022-02-01,10000,1.0,0.0,0.0
2022-02-01,100,2.5,1.5010834074452747e-133,1.975828685873081e-27
2022-02-01,1000,2.5,0.0,5.492271573899135e-257
2022-02-01,10000,2.5,0.0,0.0
2022-02-01,100,5.0,4.3781734771176396e-150,6.373795512848433e-28
2022-02-01,1000,5.0,0.0,1.3673017238278795e-261
2022-02-01,10000,5.0,0.0,0.0
2022-02-08,100,1.0,3.7262203320966495e-28,2.8438186117378263e-14
2022-02-08,1000,1.0,3.1598982810276646e-264,2.7362626655000587e-127
2022-02-08,10000,1.0,0.0,0.0
2022-02-08,100,2.5,2.312582077581809e-47,4.523440927057719e-23
2022-02-08,1000,2.5,0.0,2.5986465364179033e-213
2022-02-08,10000,2.5,0.0,0.0
2022-02-08,100,5.0,4.050776328299582e-61,2.1800499105867666e-26
2022-02-08,1000,5.0,0.0,1.7041365992059618e-245
2022-02-08,10000,5.0,0.0,0.0
2022-02-15,100,1.0,5.991266537230081e-14,0.002891611926277523
2022-02-15,1000,1.0,1.9688429271906834e-124,1.462495172264617e-22
2022-02-15,10000,1.0,0.0,9.192252463328563e-207
2022-02-15,100,2.5,3.4962154912448565e-19,0.0001734594855378514
2022-02-15,1000,2.5,1.1639790022720574e-175,1.605942267439595e-33
2022-02-15,10000,2.5,0.0,6.05539419e-315
2022-02-15,100,5.0,9.727343641820129e-24,2.6437779920257206e-05
2022-02-15,1000,5.0,2.5490809814591926e-220,7.461781413617259e-41
2022-02-15,10000,5.0,0.0,0.0
2022-02-22,100,1.0,2.5115532187249946e-13,2.3450414888129117e-09
2022-02-22,1000,1.0,3.570147220189946e-118,1.2398859912020208e-79
2022-02-22,10000,1.0,0.0,0.0
2022-02-22,100,2.5,1.6823427024754567e-20,6.188693321985431e-14
2022-02-22,1000,2.5,6.240581255002781e-188,1.6040567834859455e-123
2022-02-22,10000,2.5,0.0,0.0
2022-02-22,100,5.0,7.44492562300667e-21,2.857117840510308e-13
2022-02-22,1000,5.0,1.1820868449139862e-190,2.304118978862381e-116
2022-02-22,10000,5.0,0.0,0.0
2022-03-29,100,1.0,1.1249387225801676e-05,9.198453897327398e-31
2022-03-29,1000,1.0,1.1081823617158616e-44,7.241843521009768e-290
2022-03-29,10000,1.0,0.0,0.0
2022-03-29,100,2.5,2.75161910543021e-05,2.3190459464611294e-33
2022-03-29,1000,2.5,1.051413720191855e-40,4.12121968e-315
2022-03-29,10000,2.5,0.0,0.0
2022-03-29,100,5.0,0.0001238864616236519,3.0385670215600585e-33
2022-03-29,1000,5.0,1.9671816773333095e-34,1.50554130085e-313
2022-03-29,10000,5.0,2e-323,0.0
2022-04-12,100,1.0,3.938155137991719e-112,6.156122993777568e-17
2022-04-12,1000,1.0,0.0,1.836284407253494e-153
2022-04-12,10000,1.0,0.0,0.0
2022-04-12,100,2.5,2.7137873784615603e-170,4.047607454031714e-19
2022-04-12,1000,2.5,0.0,2.325193466210248e-174
2022-04-12,10000,2.5,0.0,0.0
2022-04-12,100,5.0,2.4720824235422114e-278,3.8829388399070037e-20
2022-04-12,1000,5.0,0.0,2.4198379905393423e-183
2022-04-12,10000,5.0,0.0,0.0
2022-04-19,100,1.0,4.239932263891702e-106,2.5375648867473033e-22
2022-04-19,1000,1.0,0.0,3.060964289857699e-206
