match_id,competition,season,match_date,as_of,home_team,away_team,actual_home,actual_away,lambda_home,lambda_away,prob_home,prob_draw,prob_away,tip_home,tip_away,tip_points,log_loss,brier_score,home_form,away_form,home_venue_form,away_venue_form,h2h,market_log_ratio,market_decay,home_season_matches,away_season_matches,home_log_adjustment,away_log_adjustment,book_prob_home,book_prob_draw,book_prob_away,bookmaker_weight,home_external_prior,away_external_prior,rho,home_advantage,training_matches,matchday,original_forecast_reused,round_grouping,odds_withheld_for_late_fixture,tip_strategy,target_probability
35fc76a1b06760e2e5b2,D1,2018,2018-08-24,2018-08-21,Bayern München,TSG 1899 Hoffenheim,3,1,3.1292235820038696,0.7965613188536708,0.7906418661716059,0.1311835305067911,0.0781746033216029,2,0,3,2.5612309117150223,0.0671512154808239,0.3779510426899126,0.3773151637676912,0.3800796993537061,-0.0469459771008987,0.0707997540404255,1.503921766863891,1.0,0.0,0.0,0.0600673779542252,-0.022304067631345,0.7906418661716058,0.1311835305067912,0.0781746033216029,1.0,False,False,-0.1219999338268863,0.286430424954068,1836,1.0,True,official_matchdays,False,,
038ac7fd41b836403dee,D1,2018,2018-08-25,2018-08-21,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,0,1.580833288186904,1.4551433990043494,0.3408371750910896,0.2684736363649121,0.3906891885439982,1,2,0,2.9570845270109767,0.6592117652100619,0.0608689025694106,0.0614417537549769,0.3463896907710382,0.0472846156943629,-0.1593417233271861,-0.3950591869470476,1.0,0.0,0.0,-0.0148287632708432,0.0209442960870626,0.3408371750910896,0.2684736363649121,0.3906891885439982,1.0,False,False,-0.1219999338268863,0.286430424954068,1836,1.0,True,official_matchdays,False,,
0920a815284a576ce6b7,D1,2018,2018-08-25,2018-08-21,Hertha BSC,1. FC Nürnberg,1,0,1.711632801685353,1.0738014607323143,0.4652202495215647,0.2809714834569736,0.2538082670214616,2,1,3,2.4786704259478753,0.4293529924462275,-0.1433352465386251,-0.5806952191735276,-0.1781194983006253,-0.4806093847049665,-0.0314212622559271,0.0,1.0,0.0,0.0,0.0131301731920175,-0.0493316964776251,0.4652202495215648,0.2809714834569736,0.2538082670214616,1.0,False,True,-0.1219999338268863,0.286430424954068,1836,1.0,True,official_matchdays,False,,
0cce9e444a8f12743abd,D1,2018,2018-08-25,2018-08-21,Fortuna Düsseldorf,FC Augsburg,1,2,1.2862898914936252,1.2884495838178236,0.3891618923159619,0.2914538746193039,0.3193842330647342,1,0,0,2.607601625420945,0.6996301616624252,-0.5838952086165108,-0.2894441118991273,-0.2744442591996471,-0.1865201779644037,0.0083100577148022,0.0,1.0,0.0,0.0,-0.0435018123809546,-0.0001651536448272,0.3891618923159617,0.2914538746193039,0.3193842330647342,1.0,True,False,-0.1219999338268863,0.286430424954068,1836,1.0,True,official_matchdays,False,,
d1bb9ddf240825f00c65,D1,2018,2018-08-25,2018-08-21,SC Freiburg,Eintracht Frankfurt,0,2,1.2300912702358635,1.1681387523981923,0.4091603650627484,0.290325617750981,0.3005140171862704,1,0,0,2.87642709993766,0.7409818088136595,-0.1106657102843033,-0.2456834217539931,0.1382775391041156,-0.5438679044956265,0.0810653913601547,-0.1413335637134679,1.0,0.0,0.0,0.0017375305344403,-0.0195549871363551,0.4091603650627484,0.2903256177509811,0.3005140171862704,1.0,False,False,-0.1219999338268863,0.286430424954068,1836,1.0,True,official_matchdays,False,,
e7647a2c12861f96c104,D1,2018,2018-08-25,2018-08-21,VfL Wolfsburg,FC Schalke 04,2,1,1.0971909750354198,1.3406139264615744,0.3054055623770633,0.2937840686016008,0.4008103690213359,0,1,0,2.6007280050478916,0.7294194636558533,-0.1217074758595197,0.35690725050963,-0.1712342848550922,0.2592624330727022,-0.1522458090620166,0.0,1.0,0.0,0.0,-0.0376284005645343,0.0493883892970398,0.3054055623770633,0.2937840686016008,0.4008103690213359,1.0,False,False,-0.1219999338268863,0.286430424954068,1836,1.0,True,official_matchdays,False,,
ee2f24fd98941e501458,D1,2018,2018-08-25,2018-08-21,SV Werder Bremen,Hannover 96,1,1,1.93572284034554,1.1255822376125415,0.5038957384001471,0.2595820838366043,0.2365221777632484,2,1,0,2.1086872679099615,0.8580723463274444,0.0573521424865278,-0.1998696992082478,0.1874756403086115,-0.4159578199082835,0.110895617702346,0.0,1.0,0.0,0.0,0.0212734800941824,-0.0283993579302684,0.5038957384001472,0.2595820838366044,0.2365221777632484,1.0,False,False,-0.1219999338268863,0.286430424954068,1836,1.0,True,official_matchdays,False,,
9c496fe22ede1b0ee6e5,D1,2018,2018-08-26,2018-08-21,1. FSV Mainz 05,Stuttgart,1,0,1.3083156528042148,1.118235797419273,0.3448407275503457,0.2959314388653937,0.3592278335842606,1,1,0,2.4362366102173834,0.6458537252073437,0.0586169162030927,0.4710192854093764,0.0469635161129401,0.367475555518193,0.0177248943777058,-0.1334417185895793,1.0,0.0,0.0,-0.0201390708960137,0.0466208809766372,0.3448407275503457,0.2959314388653937,0.3592278335842606,1.0,False,False,-0.1219999338268863,0.286430424954068,1836,1.0,True,official_matchdays,False,,
c609a26d8c0f396b3c6c,D1,2018,2018-08-26,2018-08-21,Borussia Dortmund,RB Leipzig,4,1,2.251358967696111,1.4214929726017065,0.5424361999765137,0.2462902598950813,0.2112735401284049,2,1,2,3.271680715078993,0.3146600319695084,-0.1714335349094788,0.1508474945468131,0.3319094291691737,0.0715504751881339,-0.0332827028168285,0.1762759364872974,1.0,0.0,0.0,-0.0219429649469475,0.0209136629288142,0.5424361999765137,0.2462902598950813,0.211273540128405,1.0,False,False,-0.1219999338268863,0.286430424954068,1836,1.0,True,official_matchdays,False,,
ff3d6cc615c40c3ff9ef,D1,2018,2018-08-31,2018-08-28,Hannover 96,Borussia Dortmund,0,0,1.2384852449198174,1.9929199178244008,0.1785527772654243,0.224276799725859,0.5971704230087163,1,2,0,3.0415726581310967,0.9902400918291604,-0.1666156366838374,0.0116081875201692,-0.0285116893030141,-0.2675479365767041,-0.025379105702104,0.0,0.9,1.0,1.0,-0.0185109283294974,0.0107605558713139,0.1785527772654243,0.2242767997258591,0.5971704230087166,1.0,False,False,-0.1178509185497519,0.2911165042857826,1836,2.0,True,official_matchdays,False,,
