season,matchday,matches,finished,draws
2023,16,9,9,3
2023,17,9,9,4
2023,18,9,9,3
2023,19,9,9,3
2023,20,9,9,3
2023,21,9,9,4
2023,22,9,9,2
2023,23,9,9,4
2023,24,9,9,2
2023,25,9,9,1
2023,26,9,9,1
2023,27,9,9,5
2023,28,9,9,1
2023,29,9,9,1
2023,30,9,9,2
2023,31,9,9,3
2023,32,9,9,4
2023,33,9,9,3
2023,34,9,9,1
2024,1,9,9,2
2024,2,9,9,2
2024,3,9,9,1
2024,4,9,9,2
2024,5,9,9,2
2024,6,9,9,3
2024,7,9,9,0
2024,8,9,9,5
2024,9,9,9,3
2024,10,9,9,4
2024,11,9,9,0
2024,12,9,9,2
2024,13,9,9,3
2024,14,9,9,1
2024,15,9,9,0
2024,16,9,9,0
2024,17,9,9,1
2024,18,9,9,1
2024,19,9,9,4
2024,20,9,9,3
2024,21,9,9,4
2024,22,9,9,2
2024,23,9,9,3
2024,24,9,9,1
2024,25,9,9,4
2024,26,9,9,2
2024,27,9,9,1
2024,28,9,9,2
2024,29,9,9,2
2024,30,9,9,5
2024,31,9,9,2
2024,32,9,9,6
2024,33,9,9,3
2024,34,9,9,1
2025,1,9,9,2
2025,2,9,9,2
2025,3,9,9,1
2025,4,9,9,1
2025,5,9,9,2
2025,6,9,9,2
2025,7,9,9,3
2025,8,9,9,0
2025,9,9,9,3
2025,10,9,9,2
2025,11,9,9,2
2025,12,9,9,3
2025,13,9,9,1
2025,14,9,9,2
2025,15,9,9,4
2025,16,9,9,4
2025,17,9,9,1
2025,18,9,9,5
2025,19,9,9,1
2025,20,9,9,2
2025,21,9,9,2
2025,22,9,9,1
2025,23,9,9,4
2025,24,9,9,1
2025,25,9,9,3
2025,26,9,9,3
2025,27,9,9,2
2025,28,9,9,4
2025,29,9,9,1
2025,30,9,9,2
2025,31,9,9,3
2025,32,9,9,4
2025,33,9,9,0
2025,34,9,9,2
