season,matchday,n,points,asofs,last_asof,first_match
2021,10,9,15,1,2021-10-26,2021-10-29
2021,11,9,12,1,2021-11-02,2021-11-05
2021,12,9,10,1,2021-11-16,2021-11-19
2021,13,9,10,1,2021-11-23,2021-11-26
2021,14,9,10,1,2021-11-30,2021-12-03
2021,15,9,6,1,2021-12-07,2021-12-10
2021,16,9,8,1,2021-12-14,2021-12-14
2021,17,9,12,1,2021-12-14,2021-12-17
2021,18,9,9,1,2022-01-04,2022-01-07
2021,19,9,14,1,2022-01-11,2022-01-14
2021,20,9,11,1,2022-01-18,2022-01-21
2021,21,9,10,1,2022-02-01,2022-02-04
2021,22,9,13,1,2022-02-08,2022-02-11
2021,23,9,17,1,2022-02-15,2022-02-18
2021,24,9,15,1,2022-02-22,2022-02-25
2021,25,9,15,1,2022-03-01,2022-03-04
2021,26,9,12,1,2022-03-08,2022-03-12
2021,27,9,11,1,2022-03-15,2022-03-18
2021,28,9,8,1,2022-03-29,2022-04-01
2021,29,9,13,1,2022-04-05,2022-04-08
2021,30,9,11,1,2022-04-12,2022-04-16
2021,31,9,10,1,2022-04-19,2022-04-22
2021,32,9,4,1,2022-04-26,2022-04-29
2021,33,9,10,1,2022-05-03,2022-05-06
2021,34,9,14,1,2022-05-10,2022-05-14
