team,att,def
Abkhazia,-0.2888967324493554,-0.2729764343665061
Afghanistan,-0.7937269228777586,0.33773907392676594
Albania,0.42034621829624247,-1.09370412319196
Alderney,-1.1423576426685518,1.3927143895424694
Algeria,1.0054437372789935,-0.9771301321616506
American Samoa,-2.257091672091402,2.9932643418450855
Andorra,-0.5867787042919348,-0.34377601661115464
Angola,0.36574468940581045,-0.8063754074575056
Anguilla,-1.7578864118758184,1.4666684787200945
Antigua and Barbuda,-1.2137346973622207,0.7127294712951061
Argentina,1.507943291414277,-1.280584952007949
Armenia,0.3752187192026906,-0.18423776809345693
Artsakh,-0.23860686879690143,0.5376478428079927
Aruba,-0.36255915643226433,0.7095141483866794
Australia,1.0411896511562113,-1.1586356841948253
Austria,1.0357687099668167,-1.0671766443683577
Aymara,-1.0103811634525135,1.0546567566986123
Azerbaijan,0.12561412273115224,-0.31087416856880645
Bahamas,-1.15451298360093,1.5013091569323234
Bahrain,0.3160839315417879,-0.5408916908296679
Bangladesh,-0.6137630912816496,0.48531789482542276
Barawa,-0.7740161374663677,1.3851123086258155
Barbados,-0.42379066390056286,0.8806121499424215
Basque Country,0.9130690708499671,-0.8203456728841056
Belarus,0.4902579232238689,-0.4422901571276322
Belgium,1.3617519244197451,-1.0671852896682
Belize,-0.5610254373241889,0.5444107183426133
Benin,0.569952402073092,-0.5163823465868657
Bermuda,0.02112900305928045,0.7702855719922291
Bhutan,-1.2114812656294744,1.1292239639542005
Biafra,-1.645374368578619,0.12497584183933108
Bolivia,0.8227687940222264,-0.5259670785558791
Bonaire,-0.7164746432010874,0.8323401182444399
Bosnia and Herzegovina,0.5542011328003036,-0.7221401846801787
Botswana,0.10164346343778541,-0.2658769501643232
Brazil,1.4812022895964287,-1.432188649802729
British Virgin Islands,-0.9696818846421214,0.9146829099233589
Brunei,-1.2298277878510353,1.1817265631159057
Bulgaria,0.4239705951124417,-0.4485041527743576
Burkina Faso,0.8316536913480386,-0.6281915118866581
Burundi,0.006579234173461734,-0.3353752624444404
Cambodia,-0.40796417938324175,0.6666243491312032
Cameroon,0.702924246314796,-1.0863969757084726
Canada,0.9552979446124785,-1.110159472428782
Cape Verde,0.8660988772120237,-0.7067529897640619
Cascadia,0.16044338516436352,0.7745060150566321
Catalonia,0.8843226537056363,-0.449622194914687
Cayman Islands,-1.193626680592396,0.920203580268138
Central African Republic,0.29220207759375955,0.09561835167586008
Chad,-0.26355229714174866,0.0718995562756563
Chagos Islands,-0.48680918537195267,1.779237585073183
Chameria,-0.29054932351990853,0.6679280328743468
Chile,0.740743830843154,-0.8737700586449999
China PR,0.23773019174607207,-0.48225540285097823
Colombia,1.2730820645872822,-1.3952816158085468
Comoros,0.2840369987963925,-0.34087220924638073
Congo,0.13757526840835033,-0.04751521857100022
Cook Islands,-2.7137774169010633,2.2248358044662875
Corsica,0.13116752295159662,-0.5783203134331962
Costa Rica,0.6104110144789197,-0.5610056989077458
County of Nice,0.415100935676251,0.5950912593166626
Croatia,1.2394941945838878,-1.20987433969392
Cuba,-0.23586615622309878,0.17655396350831992
Curacao,0.3769717350540876,-0.4136789890675917
Cyprus,0.3324437011673617,-0.2936956105066306
Czech Republic,0.916997658664402,-0.6800580198481256
DR Congo,0.738302213192148,-1.114580832109163
Denmark,1.240342438907082,-1.2097683511665827
Djibouti,-0.2310959828003023,0.5382612268151384
Dominica,-0.7452590944243183,0.7410611225444629
Dominican Republic,0.2422081430391046,-0.02781846006414096
Donetsk PR,-0.2684881736437443,0.032538217461430874
Délvidék,-0.0008164016569778831,0.4663408896282029
Ecuador,0.7526152641014692,-1.5155037827227187
Egypt,0.7179424936598695,-1.2291439090493557
El Salvador,-0.26153179610485155,-0.3494018378902921
Elba Island,-0.36129084579318815,-0.5577224823973272
Ellan Vannin,-0.11405898925180485,0.3718306661805315
England,1.4468013722801676,-1.5362255558035882
Equatorial Guinea,0.040198608692126714,-0.2884040569648436
Eritrea,-0.6266997005373909,0.4160694533962781
Estonia,0.23518768903201565,-0.33747485240045383
Eswatini,0.12234115374197602,-0.07055787303958161
Ethiopia,0.19451059028715728,-0.22330716563459263
Falkland Islands,-1.1220720350439064,1.365860221395998
Faroe Islands,0.27523241230635037,-0.5872629192989345
Felvidék,-0.5210860279319462,0.2362268275928982
Fiji,-0.7263333951474178,1.0320680022313735
Finland,0.5374231204222077,-0.6537865714392752
France,1.4726357241516628,-1.5013108587624389
Franconia,-0.6373410391692762,1.814826978000496
French Guiana,-0.14633255213428886,0.22327599435228396
Frøya,-1.7198927192119517,1.7776099765335562
