team,elo
Egypt,1745.6918090609502
Togo,1459.749989867581
Tunisia,1684.421063875914
Trinidad and Tobago,1533.2560255410208
Canada,1734.2409517003132
Burkina Faso,1632.748674734847
Gabon,1555.7815391200318
Guatemala,1617.9942208835407
Armenia,1387.0673368048836
Ivory Coast,1636.0484391112425
Mexico,1930.1026337631906
Iran,1812.5038905395215
Bermuda,1388.8988283057658
Cameroon,1688.471423090181
Senegal,1686.0212251166947
China PR,1547.499077482419
New Zealand,1701.1750058208145
United States,1762.1022403470743
Jamaica,1641.638569690991
Ghana,1569.097231205545
Morocco,1955.2374711051466
Panama,1760.585240044937
Algeria,1683.1073427616964
Malta,1300.6149013408508
Qatar,1634.4253865010428
South Korea,1818.83784064222
Nigeria,1741.70581556771
Vietnam,1510.3164698314454
Guam,1154.4577279544944
South Africa,1521.7674868370405
Philippines,1380.6941217342826
Zambia,1497.6933970545022
DR Congo,1646.3673766420284
Bosnia and Herzegovina,1523.512394526874
Congo,1367.0496841551603
Uganda,1532.1705063582797
Libya,1518.9820133789772
Spain,2154.2707795095143
Poland,1683.833398013856
Costa Rica,1685.0082244370408
United States Virgin Islands,1169.5072658088525
Saint Lucia,1339.8453307731506
Chile,1657.7834215293703
Faroe Islands,1387.2450600656257
Finland,1503.0242865529185
Iceland,1510.177241953607
Norway,2021.3941592668382
Kuwait,1492.6273950417471
Syria,1565.0233531971278
British Virgin Islands,1154.750802249364
Saint Kitts and Nevis,1371.88715567622
Romania,1590.2522267051277
Latvia,1297.2260154210512
Moldova,1284.2946835163818
Cyprus,1351.098881934045
Lithuania,1264.3789453666325
Sweden,1631.0481936559345
Georgia,1572.3970866694178
Japan,1800.1000249891408
Albania,1573.5272507487575
Andorra,1120.7284615928577
Cayman Islands,1241.3029230267828
Azerbaijan,1349.532928462016
Singapore,1377.261924124566
Malaysia,1508.746077318882
Czech Republic,1635.038110314434
North Korea,1470.102658019421
Bulgaria,1476.6531860995535
Slovakia,1613.9135976737532
Australia,1815.1480620247773
Honduras,1638.583843852071
El Salvador,1487.3204089977592
Nepal,1225.947829249322
Yemen,1350.3669533874067
Hong Kong,1382.0836644453543
Turkmenistan,1425.106039441643
Colombia,1920.362778377493
Bhutan,1108.7687314184006
Haiti,1648.3235830883991
Macau,1115.237165604811
Brunei,1161.2603638596129
Dominican Republic,1482.7764870053034
Peru,1661.8544490782776
Maldives,1198.3020170138302
Lebanon,1450.6372474987363
Barbados,1247.559241270894
Dominica,1263.5478022517266
Antigua and Barbuda,1276.7468297145683
Oman,1587.9210105525317
Switzerland,1967.001515024908
United Arab Emirates,1635.175026820633
Slovenia,1633.6986631462134
Kernow,1535.0069233999852
Guernsey,1666.3090255692
Thailand,1557.6826737517251
Lesotho,1409.0598425303658
Eswatini,1311.978908899266
Turkey,1903.81456869742
Brazil,1925.6479955363343
Netherlands,1899.076439298942
Germany,1867.9698253212614
North Macedonia,1565.6981559625958
Serbia,1665.9601667105253
Luxembourg,1367.8848699762586
Northern Ireland,1528.2305575434837
Jordan,1707.8436457872738
Italy,1818.9205426814449
Wales,1657.9817031399114
Republic of Ireland,1663.0476393544943
Hungary,1689.0769798401748
Greece,1685.0726279943426
Austria,1703.3716312041724
France,2077.205275516049
Estonia,1346.1779664718072
England,2081.9584167321464
Argentina,2070.9069114029458
Croatia,1743.9033491079072
Belgium,1980.1896516659858
Portugal,1943.0062858250828
Israel,1570.6926367210788
Russia,1758.553800100935
Anguilla,1117.8735315631516
Botswana,1407.2797610547238
Uzbekistan,1780.883616732438
Mongolia,1183.148192501338
Nicaragua,1508.3539549398397
Curacao,1591.5797983540674
Ethiopia,1398.373223025539
Sudan,1450.8931667549714
Belize,1338.6720954584448
Suriname,1567.232720214228
Montserrat,1340.8888100904098
Saint Vincent and the Grenadines,1368.351542452051
Grenada,1368.3109588543905
Bahamas,1170.625379192514
Bolivia,1659.6715098289944
Cuba,1441.1165733258372
Zimbabwe,1416.018983679225
Ecuador,1760.3388961731698
Aruba,1296.3251825276056
Puerto Rico,1450.8242461010611
Malawi,1419.1121207268172
Venezuela,1690.5605428399442
Turks and Caicos Islands,1229.0917740961756
Bahrain,1536.2383138700172
Kazakhstan,1438.8854153420632
Namibia,1429.7341320745484
Gambia,1475.0327951032075
Mauritania,1422.026866454899
Taiwan,1174.0719748738634
Tanzania,1410.5156735358562
Alderney,1297.740820071018
Jersey,1720.9774403776455
Denmark,1759.355191195947
Paraguay,1802.8028944645328
Uruguay,1832.0682412112933
Scotland,1736.3595424573546
Belarus,1449.9977754876516
Palestine,1560.814493239943
Kenya,1466.3157956015532
Pakistan,1194.9558036174387
Myanmar,1271.8676753652578
Laos,1147.9046124011068
Djibouti,1145.0477027049071
Seychelles,1091.6680193976415
São Tomé and Príncipe,1245.1938508464557
Sierra Leone,1455.8126003653522
Guinea,1504.689750033103
Madagascar,1493.50070961344
New Caledonia,1560.8451025275065
Solomon Islands,1446.814429595309
Guinea-Bissau,1389.6220943403075
Fiji,1494.9710116956378
Papua New Guinea,1489.5423894628827
Central African Republic,1354.495622811707
Equatorial Guinea,1461.1980799599712
Eritrea,1272.7832203650887
Mauritius,1283.0075106943666
Chad,1267.9261332388671
Liberia,1446.5654004526666
Angola,1523.3741819845316
Cape Verde,1608.5562753927036
Benin,1542.9257655092183
Mali,1636.347146766091
Rwanda,1438.7459521616406
Mozambique,1490.9042988536887
Vanuatu,1473.529032152174
Somalia,1158.253944501667
San Marino,955.4437781774706
Liechtenstein,1011.9025900711208
Ukraine,1687.6214503272847
Sint Maarten,1401.1767044988064
Sri Lanka,1176.1297062461576
Bangladesh,1256.4677663852938
India,1340.1965599508912
Saudi Arabia,1682.8829402473802
Kyrgyzstan,1492.2099246323771
Iraq,1732.4056009421174
Tonga,1245.56795794781
Cook Islands,1271.7140781561054
Gibraltar,1105.043417591208
Monaco,1489.2537312081415
American Samoa,1215.2420615016956
Tahiti,1512.2809131585664
Burundi,1371.8506321808763
Niger,1482.730885716081
Guyana,1486.41843541134
Indonesia,1521.6022995222825
Zanzibar,1525.0263681249398
Cambodia,1212.7763457533026
Tajikistan,1466.9843256263057
Catalonia,1547.9626358377818
Andalusia,1536.2602184846053
Basque Country,1563.4898847587613
Saint Martin,1354.8328086422189
Martinique,1491.7822674878578
Guadeloupe,1535.8633247905489
Samoa,1369.7702238425777
Greenland,1490.8051403503923
Tibet,1385.291609533564
Isle of Wight,1571.2462873262884
Orkney,1450.0157178085733
Isle of Man,1634.8858073968693
Falkland Islands,1342.6342408403193
Ynys Môn,1614.9549775908945
Saare County,1397.4088756688095
Shetland,1495.1776482100377
Rhodes,1545.7717807216295
Mayotte,1456.558690846863
Canary Islands,1500.5988638850993
Réunion,1565.6967052061632
French Guiana,1455.278103843685
Vatican City,1477.9021641805148
Afghanistan,1323.2353637160202
Timor-Leste,1060.704751477616
Tuvalu,1354.9834716457724
Sark,1454.4128955300994
Gotland,1448.2833218650126
Frøya,1338.6951451712523
Kiribati,1412.3114817500625
Micronesia,1452.9172222412822
Comoros,1437.9396149439085
Åland Islands,1488.7901353433406
Sealand,1485.3599869185882
Occitania,1580.9475994751897
Chechnya,1490.158234000231
Ambazonia,1449.273950151883
Western Isles,1464.5954346079166
Galicia,1515.0586820011456
Northern Cyprus,1632.0569016710708
Kosovo,1660.121387282275
Republic of St. Pauli,1488.033257126339
Crimea,1512.4915601101284
Găgăuzia,1473.0598187995995
Sápmi,1470.135080304193
Silesia,1501.754148584208
Montenegro,1444.5692456626127
Northern Mariana Islands,1259.3704123693594
Romani people,1478.1489262930495
Menorca,1528.2857407752058
Brittany,1505.4755991798886
Iraqi Kurdistan,1577.870297923836
Provence,1458.4834443002328
Padania,1627.369282773824
Arameans Suryoye,1527.171133694327
Corsica,1528.981414541196
Gozo,1475.1809979294362
Two Sicilies,1455.702263923217
Saint Barthélemy,1479.7544389897694
Saint Pierre and Miquelon,1427.281580054009
Bonaire,1320.5008087814526
Chagos Islands,1436.5691318985128
Raetia,1450.1349788164523
Cilento,1495.051319586098
Darfur,1425.7663617346968
Western Sahara,1490.3321521880823
Tamil Eelam,1499.004262761793
South Sudan,1316.380304586356
Abkhazia,1584.127308469782
Artsakh,1533.398294981764
