match_id,bookmaker,latest
5ab3063973f4e1a04e3e,Betfair,2026-09-09T05:15:51+00:00
5ab3063973f4e1a04e3e,Betsson,2026-09-09T05:15:28+00:00
5ab3063973f4e1a04e3e,Codere (IT),2026-09-09T05:15:28+00:00
5ab3063973f4e1a04e3e,Coolbet,2026-09-09T05:16:15+00:00
5ab3063973f4e1a04e3e,Everygame,2026-09-09T05:14:04+00:00
5ab3063973f4e1a04e3e,GTbets,2026-09-09T05:15:51+00:00
5ab3063973f4e1a04e3e,LeoVegas (SE),2026-09-09T05:15:29+00:00
5ab3063973f4e1a04e3e,Marathon Bet,2026-09-09T05:15:28+00:00
5ab3063973f4e1a04e3e,Matchbook,2026-09-09T05:16:15+00:00
5ab3063973f4e1a04e3e,Nordic Bet,2026-09-09T05:16:15+00:00
5ab3063973f4e1a04e3e,PMU (FR),2026-09-09T05:15:28+00:00
5ab3063973f4e1a04e3e,Pinnacle,2026-09-09T05:16:12+00:00
5ab3063973f4e1a04e3e,Suprabets,2026-09-09T05:14:38+00:00
5ab3063973f4e1a04e3e,Tipico,2026-09-09T05:16:14+00:00
5ab3063973f4e1a04e3e,Unibet (FR),2026-09-09T05:15:51+00:00
5ab3063973f4e1a04e3e,Unibet (NL),2026-09-09T05:16:13+00:00
5ab3063973f4e1a04e3e,Unibet (SE),2026-09-09T05:15:34+00:00
5ab3063973f4e1a04e3e,William Hill,2026-09-09T05:15:50+00:00
5ab3063973f4e1a04e3e,Winamax (DE),2026-09-09T05:15:53+00:00
5ab3063973f4e1a04e3e,Winamax (FR),2026-09-09T05:15:31+00:00
69d7b03c8c472bdcd27a,1xBet,2026-09-09T05:15:27+00:00
69d7b03c8c472bdcd27a,888sport,2026-09-09T05:15:50+00:00
69d7b03c8c472bdcd27a,BetOnline.ag,2026-09-09T05:16:12+00:00
69d7b03c8c472bdcd27a,Betclic (FR),2026-09-09T05:11:40+00:00
69d7b03c8c472bdcd27a,Betfair,2026-09-09T05:15:51+00:00
69d7b03c8c472bdcd27a,Betsson,2026-09-09T05:15:28+00:00
69d7b03c8c472bdcd27a,Codere (IT),2026-09-09T05:15:28+00:00
69d7b03c8c472bdcd27a,Coolbet,2026-09-09T05:16:15+00:00
69d7b03c8c472bdcd27a,Everygame,2026-09-09T05:14:04+00:00
69d7b03c8c472bdcd27a,GTbets,2026-09-09T05:15:51+00:00
69d7b03c8c472bdcd27a,LeoVegas (SE),2026-09-09T05:15:29+00:00
69d7b03c8c472bdcd27a,Marathon Bet,2026-09-09T05:15:28+00:00
69d7b03c8c472bdcd27a,Matchbook,2026-09-09T05:16:15+00:00
69d7b03c8c472bdcd27a,Nordic Bet,2026-09-09T05:16:15+00:00
69d7b03c8c472bdcd27a,PMU (FR),2026-09-09T05:15:28+00:00
69d7b03c8c472bdcd27a,Pinnacle,2026-09-09T05:16:12+00:00
69d7b03c8c472bdcd27a,Suprabets,2026-09-09T05:14:38+00:00
69d7b03c8c472bdcd27a,Tipico,2026-09-09T05:16:14+00:00
69d7b03c8c472bdcd27a,Unibet (FR),2026-09-09T05:15:51+00:00
69d7b03c8c472bdcd27a,Unibet (NL),2026-09-09T05:16:13+00:00
69d7b03c8c472bdcd27a,Unibet (SE),2026-09-09T05:15:34+00:00
69d7b03c8c472bdcd27a,William Hill,2026-09-09T05:15:50+00:00
69d7b03c8c472bdcd27a,Winamax (DE),2026-09-09T05:15:53+00:00
