season,matchday,home,away,goals_home,goals_away
2003,1,Arminia Bielefeld,Rot-Weiß Oberhausen,1,3
2003,1,SpVgg Greuther Fürth,SpVgg Unterhaching,2,4
2003,1,Erzgebirge Aue,Jahn Regensburg,0,1
2003,1,Energie Cottbus,Eintracht Trier,2,3
2003,1,1. FSV Mainz 05,1. FC Union Berlin,2,1
2003,1,Wacker Burghausen,Alemannia Aachen,1,1
2003,1,LR Ahlen,VfL Osnabrück,0,1
2003,1,MSV Duisburg,VfB Lübeck,2,1
2003,1,Karlsruher SC,1. FC Nürnberg,2,3
2003,2,Eintracht Trier,Erzgebirge Aue,2,1
2003,2,Jahn Regensburg,SpVgg Greuther Fürth,0,0
2003,2,VfB Lübeck,Arminia Bielefeld,0,0
2003,2,VfL Osnabrück,Karlsruher SC,1,2
2003,2,1. FC Nürnberg,Wacker Burghausen,2,0
2003,2,1. FC Union Berlin,Energie Cottbus,0,1
2003,2,SpVgg Unterhaching,MSV Duisburg,1,0
2003,2,Rot-Weiß Oberhausen,LR Ahlen,1,3
2003,2,Alemannia Aachen,1. FSV Mainz 05,2,2
2003,3,Erzgebirge Aue,1. FC Union Berlin,2,1
2003,3,Karlsruher SC,Rot-Weiß Oberhausen,1,2
2003,3,VfB Lübeck,SpVgg Unterhaching,0,2
2003,3,Arminia Bielefeld,LR Ahlen,3,0
2003,3,SpVgg Greuther Fürth,Eintracht Trier,4,2
2003,3,Energie Cottbus,Alemannia Aachen,3,1
2003,3,Wacker Burghausen,VfL Osnabrück,4,1
2003,3,MSV Duisburg,Jahn Regensburg,2,2
2003,3,1. FSV Mainz 05,1. FC Nürnberg,2,1
2003,4,Eintracht Trier,MSV Duisburg,1,1
2003,4,Jahn Regensburg,VfB Lübeck,0,4
2003,4,LR Ahlen,Karlsruher SC,1,2
2003,4,VfL Osnabrück,1. FSV Mainz 05,2,2
2003,4,Alemannia Aachen,Erzgebirge Aue,1,0
2003,4,1. FC Union Berlin,SpVgg Greuther Fürth,3,0
2003,4,SpVgg Unterhaching,Arminia Bielefeld,1,0
2003,4,Rot-Weiß Oberhausen,Wacker Burghausen,1,2
2003,4,1. FC Nürnberg,Energie Cottbus,2,2
2003,5,1. FSV Mainz 05,Rot-Weiß Oberhausen,2,0
2003,5,Wacker Burghausen,LR Ahlen,0,1
2003,5,MSV Duisburg,1. FC Union Berlin,1,0
2003,5,SpVgg Greuther Fürth,Alemannia Aachen,7,1
2003,5,Erzgebirge Aue,1. FC Nürnberg,3,3
2003,5,Energie Cottbus,VfL Osnabrück,3,0
2003,5,SpVgg Unterhaching,Jahn Regensburg,2,2
2003,5,VfB Lübeck,Eintracht Trier,2,2
2003,5,Arminia Bielefeld,Karlsruher SC,3,1
2003,6,Alemannia Aachen,MSV Duisburg,2,1
2003,6,1. FC Union Berlin,VfB Lübeck,1,2
2003,6,Jahn Regensburg,Arminia Bielefeld,1,2
2003,6,VfL Osnabrück,Erzgebirge Aue,0,1
2003,6,Eintracht Trier,SpVgg Unterhaching,2,1
2003,6,Karlsruher SC,Wacker Burghausen,0,0
2003,6,LR Ahlen,1. FSV Mainz 05,1,3
2003,6,Rot-Weiß Oberhausen,Energie Cottbus,0,0
2003,6,1. FC Nürnberg,SpVgg Greuther Fürth,1,1
2003,7,Energie Cottbus,LR Ahlen,3,2
2003,7,SpVgg Unterhaching,1. FC Union Berlin,1,1
2003,7,VfB Lübeck,Alemannia Aachen,3,5
2003,7,Arminia Bielefeld,Wacker Burghausen,3,1
2003,7,SpVgg Greuther Fürth,VfL Osnabrück,1,1
2003,7,Erzgebirge Aue,Rot-Weiß Oberhausen,1,1
2003,7,Jahn Regensburg,Eintracht Trier,2,1
2003,7,MSV Duisburg,1. FC Nürnberg,2,1
2003,7,1. FSV Mainz 05,Karlsruher SC,1,1
2003,8,VfL Osnabrück,MSV Duisburg,2,2
2003,8,Eintracht Trier,Arminia Bielefeld,2,3
2003,8,Karlsruher SC,Energie Cottbus,3,1
2003,8,1. FC Nürnberg,VfB Lübeck,1,2
2003,8,1. FC Union Berlin,Jahn Regensburg,2,2
2003,8,Wacker Burghausen,1. FSV Mainz 05,2,0
2003,8,LR Ahlen,Erzgebirge Aue,1,0
2003,8,Rot-Weiß Oberhausen,SpVgg Greuther Fürth,3,1
2003,8,Alemannia Aachen,SpVgg Unterhaching,5,1
2003,9,Eintracht Trier,1. FC Union Berlin,1,1
2003,9,VfB Lübeck,VfL Osnabrück,1,1
2003,9,MSV Duisburg,Rot-Weiß Oberhausen,1,1
2003,9,Arminia Bielefeld,1. FSV Mainz 05,1,0
2003,9,SpVgg Greuther Fürth,LR Ahlen,2,0
2003,9,Erzgebirge Aue,Karlsruher SC,2,0
2003,9,Energie Cottbus,Wacker Burghausen,2,1
2003,9,Jahn Regensburg,Alemannia Aachen,1,2
2003,9,SpVgg Unterhaching,1. FC Nürnberg,1,1
2003,10,1. FC Nürnberg,Jahn Regensburg,3,2
2003,10,Wacker Burghausen,Erzgebirge Aue,2,0
2003,10,Rot-Weiß Oberhausen,VfB Lübeck,3,3
2003,10,VfL Osnabrück,SpVgg Unterhaching,2,1
2003,10,Alemannia Aachen,Eintracht Trier,2,0
2003,10,1. FC Union Berlin,Arminia Bielefeld,1,0
2003,10,Karlsruher SC,SpVgg Greuther Fürth,1,0
2003,10,LR Ahlen,MSV Duisburg,2,3
2003,10,1. FSV Mainz 05,Energie Cottbus,4,1
2003,11,Arminia Bielefeld,Energie Cottbus,1,3
2003,11,Erzgebirge Aue,1. FSV Mainz 05,1,1
2003,11,VfB Lübeck,LR Ahlen,4,1
2003,11,SpVgg Greuther Fürth,Wacker Burghausen,2,2
2003,11,Eintracht Trier,1. FC Nürnberg,0,2
2003,11,Jahn Regensburg,VfL Osnabrück,1,0
2003,11,SpVgg Unterhaching,Rot-Weiß Oberhausen,1,4
2003,11,MSV Duisburg,Karlsruher SC,0,2
2003,11,1. FC Union Berlin,Alemannia Aachen,2,1
2003,12,VfL Osnabrück,Eintracht Trier,3,0
2003,12,1. FSV Mainz 05,SpVgg Greuther Fürth,1,3
2003,12,Rot-Weiß Oberhausen,Jahn Regensburg,2,1
2003,12,1. FC Nürnberg,1. FC Union Berlin,3,0
2003,12,Alemannia Aachen,Arminia Bielefeld,2,0
2003,12,Wacker Burghausen,MSV Duisburg,1,2
2003,12,Karlsruher SC,VfB Lübeck,1,0
2003,12,LR Ahlen,SpVgg Unterhaching,2,2
2003,12,Energie Cottbus,Erzgebirge Aue,2,1
2003,13,Arminia Bielefeld,Erzgebirge Aue,1,1
2003,13,1. FC Union Berlin,VfL Osnabrück,2,0
2003,13,VfB Lübeck,Wacker Burghausen,2,2
2003,13,MSV Duisburg,1. FSV Mainz 05,0,1
2003,13,SpVgg Greuther Fürth,Energie Cottbus,2,1
2003,13,Eintracht Trier,Rot-Weiß Oberhausen,0,3
2003,13,Jahn Regensburg,LR Ahlen,3,0
2003,13,SpVgg Unterhaching,Karlsruher SC,3,0
2003,13,Alemannia Aachen,1. FC Nürnberg,3,2
2003,14,VfL Osnabrück,Alemannia Aachen,3,1
2003,14,Energie Cottbus,MSV Duisburg,1,1
2003,14,Karlsruher SC,Jahn Regensburg,0,3
2003,14,Erzgebirge Aue,SpVgg Greuther Fürth,1,1
2003,14,1. FSV Mainz 05,VfB Lübeck,3,1
2003,14,Wacker Burghausen,SpVgg Unterhaching,0,2
2003,14,LR Ahlen,Eintracht Trier,2,0
2003,14,Rot-Weiß Oberhausen,1. FC Union Berlin,0,0
2003,14,1. FC Nürnberg,Arminia Bielefeld,1,0
2003,15,Eintracht Trier,Karlsruher SC,1,1
2003,15,Jahn Regensburg,Wacker Burghausen,0,2
2003,15,MSV Duisburg,Erzgebirge Aue,2,2
