season,matchday,home,away,goals_home,goals_away
2009,1,FC St. Pauli,Rot Weiss Ahlen,2,1
2009,1,Rot-Weiß Oberhausen,1. FC Union Berlin,0,3
2009,1,Karlsruher SC,Alemannia Aachen,1,1
2009,1,1. FC Kaiserslautern,SpVgg Greuther Fürth,2,1
2009,1,Fortuna Düsseldorf,SC Paderborn 07,3,0
2009,1,FSV Frankfurt,MSV Duisburg,1,2
2009,1,Energie Cottbus,FC Augsburg,3,1
2009,1,TSV 1860 München,TuS Koblenz,2,0
2009,1,Arminia Bielefeld,Hansa Rostock,3,1
2009,2,SpVgg Greuther Fürth,FSV Frankfurt,4,0
2009,2,SC Paderborn 07,Karlsruher SC,2,0
2009,2,MSV Duisburg,Energie Cottbus,2,2
2009,2,Hansa Rostock,TSV 1860 München,2,1
2009,2,1. FC Union Berlin,Fortuna Düsseldorf,1,0
2009,2,Rot Weiss Ahlen,1. FC Kaiserslautern,0,1
2009,2,FC Augsburg,Rot-Weiß Oberhausen,2,2
2009,2,TuS Koblenz,Arminia Bielefeld,3,2
2009,2,Alemannia Aachen,FC St. Pauli,0,5
2009,3,FSV Frankfurt,SC Paderborn 07,0,0
2009,3,1. FC Union Berlin,Hansa Rostock,1,0
2009,3,Fortuna Düsseldorf,TuS Koblenz,1,0
2009,3,Arminia Bielefeld,FC Augsburg,1,2
2009,3,FC St. Pauli,MSV Duisburg,2,2
2009,3,Energie Cottbus,SpVgg Greuther Fürth,1,3
2009,3,1. FC Kaiserslautern,Alemannia Aachen,1,1
2009,3,Rot-Weiß Oberhausen,Rot Weiss Ahlen,2,0
2009,3,TSV 1860 München,Karlsruher SC,1,3
2009,4,Karlsruher SC,FC St. Pauli,0,4
2009,4,Rot Weiss Ahlen,TSV 1860 München,0,0
2009,4,TuS Koblenz,Energie Cottbus,0,2
2009,4,SpVgg Greuther Fürth,Arminia Bielefeld,2,4
2009,4,Hansa Rostock,Rot-Weiß Oberhausen,0,2
2009,4,Alemannia Aachen,FSV Frankfurt,3,0
2009,4,FC Augsburg,1. FC Union Berlin,1,1
2009,4,SC Paderborn 07,1. FC Kaiserslautern,0,0
2009,4,MSV Duisburg,Fortuna Düsseldorf,3,0
2009,5,Arminia Bielefeld,Rot Weiss Ahlen,2,0
2009,5,Fortuna Düsseldorf,FC Augsburg,1,1
2009,5,1. FC Kaiserslautern,MSV Duisburg,4,1
2009,5,TSV 1860 München,SpVgg Greuther Fürth,3,1
2009,5,Hansa Rostock,TuS Koblenz,2,1
