season,matchday,home,away,goals_home,goals_away
1998,1,Hannover 96,Karlsruher SC,1,0
1998,1,FC St. Pauli,TeBe Berlin,1,0
1998,1,Energie Cottbus,Stuttgarter Kickers,2,0
1998,1,Fortuna Köln,Fortuna Düsseldorf,2,1
1998,1,SpVgg Unterhaching,Arminia Bielefeld,0,2
1998,1,SSV Ulm 1846,SG Wattenscheid 09,2,0
1998,1,1. FSV Mainz 05,SpVgg Greuther Fürth,3,0
1998,1,Rot-Weiß Oberhausen,KFC Uerdingen 05,0,0
1998,1,FC Gütersloh,1. FC Köln,0,1
1998,2,1. FC Köln,SpVgg Unterhaching,0,1
1998,2,Stuttgarter Kickers,Rot-Weiß Oberhausen,2,0
1998,2,KFC Uerdingen 05,Fortuna Köln,1,2
1998,2,Karlsruher SC,SSV Ulm 1846,1,2
1998,2,TeBe Berlin,Energie Cottbus,1,0
1998,2,SpVgg Greuther Fürth,FC St. Pauli,1,0
1998,2,SG Wattenscheid 09,1. FSV Mainz 05,1,1
1998,2,Fortuna Düsseldorf,FC Gütersloh,3,1
1998,2,Arminia Bielefeld,Hannover 96,0,1
1998,3,Fortuna Köln,Stuttgarter Kickers,2,1
1998,3,Rot-Weiß Oberhausen,TeBe Berlin,0,2
1998,3,FC Gütersloh,SpVgg Unterhaching,1,1
1998,3,SSV Ulm 1846,Arminia Bielefeld,6,2
1998,3,1. FSV Mainz 05,Karlsruher SC,4,1
1998,3,FC St. Pauli,SG Wattenscheid 09,1,0
1998,3,Energie Cottbus,SpVgg Greuther Fürth,1,1
1998,3,Fortuna Düsseldorf,KFC Uerdingen 05,2,2
1998,3,Hannover 96,1. FC Köln,6,1
1998,4,TeBe Berlin,Fortuna Köln,3,2
1998,4,Arminia Bielefeld,1. FSV Mainz 05,1,0
1998,4,SpVgg Unterhaching,Hannover 96,3,1
1998,4,SpVgg Greuther Fürth,Rot-Weiß Oberhausen,1,1
1998,4,1. FC Köln,SSV Ulm 1846,1,1
1998,4,Stuttgarter Kickers,Fortuna Düsseldorf,1,0
1998,4,KFC Uerdingen 05,FC Gütersloh,2,0
1998,4,SG Wattenscheid 09,Energie Cottbus,1,1
1998,4,Karlsruher SC,FC St. Pauli,3,0
1998,5,SSV Ulm 1846,SpVgg Unterhaching,3,1
1998,5,1. FSV Mainz 05,1. FC Köln,2,1
1998,5,KFC Uerdingen 05,Stuttgarter Kickers,0,1
1998,5,Energie Cottbus,Karlsruher SC,4,0
1998,5,Rot-Weiß Oberhausen,SG Wattenscheid 09,1,0
1998,5,Fortuna Köln,SpVgg Greuther Fürth,1,4
1998,5,FC Gütersloh,Hannover 96,2,1
1998,5,FC St. Pauli,Arminia Bielefeld,1,2
1998,5,Fortuna Düsseldorf,TeBe Berlin,2,2
1998,6,Arminia Bielefeld,Energie Cottbus,2,0
