season,matchday,home,away,goals_home,goals_away
2001,1,SpVgg Greuther Fürth,Rot-Weiß Oberhausen,2,2
2001,1,MSV Duisburg,LR Ahlen,1,4
2001,1,1. FC Saarbrücken,Waldhof Mannheim,1,3
2001,1,Arminia Bielefeld,SV Babelsberg 03,0,1
2001,1,Eintracht Frankfurt,SSV Reutlingen,3,1
2001,1,SpVgg Unterhaching,VfL Bochum,0,2
2001,1,Alemannia Aachen,1. FSV Mainz 05,0,2
2001,1,Karlsruher SC,1. FC Schweinfurt 05,1,0
2001,1,1. FC Union Berlin,Hannover 96,1,1
2001,2,1. FC Schweinfurt 05,1. FC Saarbrücken,2,1
2001,2,LR Ahlen,SpVgg Greuther Fürth,1,0
2001,2,Rot-Weiß Oberhausen,1. FC Union Berlin,0,3
2001,2,SSV Reutlingen,Arminia Bielefeld,2,3
2001,2,VfL Bochum,Karlsruher SC,1,1
2001,2,SV Babelsberg 03,MSV Duisburg,3,1
2001,2,Hannover 96,Alemannia Aachen,3,0
2001,2,1. FSV Mainz 05,SpVgg Unterhaching,2,0
2001,2,Waldhof Mannheim,Eintracht Frankfurt,0,0
2001,3,MSV Duisburg,SSV Reutlingen,3,3
2001,3,Arminia Bielefeld,Waldhof Mannheim,5,0
2001,3,VfL Bochum,1. FSV Mainz 05,2,1
2001,3,Alemannia Aachen,Rot-Weiß Oberhausen,2,1
2001,3,1. FC Union Berlin,LR Ahlen,5,0
2001,3,SpVgg Unterhaching,Hannover 96,1,1
2001,3,SpVgg Greuther Fürth,SV Babelsberg 03,1,0
2001,3,Eintracht Frankfurt,1. FC Schweinfurt 05,2,0
2001,3,Karlsruher SC,1. FC Saarbrücken,2,0
2001,4,1. FC Schweinfurt 05,Arminia Bielefeld,1,0
2001,4,SSV Reutlingen,SpVgg Greuther Fürth,0,1
2001,4,Rot-Weiß Oberhausen,SpVgg Unterhaching,0,2
2001,4,SV Babelsberg 03,1. FC Union Berlin,3,2
2001,4,1. FC Saarbrücken,Eintracht Frankfurt,0,2
2001,4,LR Ahlen,Alemannia Aachen,1,0
2001,4,Hannover 96,VfL Bochum,2,0
2001,4,1. FSV Mainz 05,Karlsruher SC,1,0
2001,4,Waldhof Mannheim,MSV Duisburg,3,1
2001,5,SpVgg Unterhaching,LR Ahlen,2,3
