season,matchday,home,away,goals_home,goals_away
2022,1,1. FC Kaiserslautern,Hannover 96,2,1
2022,1,SpVgg Greuther Fürth,Holstein Kiel,2,2
2022,1,FC St. Pauli,1. FC Nürnberg,3,2
2022,1,SV Sandhausen,Arminia Bielefeld,2,1
2022,1,Jahn Regensburg,SV Darmstadt 98,2,0
2022,1,1. FC Magdeburg,Fortuna Düsseldorf,1,2
2022,1,SC Paderborn 07,Karlsruher SC,5,0
2022,1,Hansa Rostock,1. FC Heidenheim 1846,0,1
2022,1,Eintracht Braunschweig,Hamburger SV,0,2
2022,2,SV Darmstadt 98,SV Sandhausen,2,1
2022,2,Fortuna Düsseldorf,SC Paderborn 07,2,1
2022,2,1. FC Heidenheim 1846,Eintracht Braunschweig,3,0
2022,2,1. FC Nürnberg,SpVgg Greuther Fürth,2,0
2022,2,Holstein Kiel,1. FC Kaiserslautern,2,2
2022,2,Hannover 96,FC St. Pauli,2,2
2022,2,Arminia Bielefeld,Jahn Regensburg,0,3
2022,2,Hamburger SV,Hansa Rostock,0,1
2022,2,Karlsruher SC,1. FC Magdeburg,2,3
2022,3,SpVgg Greuther Fürth,Karlsruher SC,1,1
2022,3,SV Sandhausen,Fortuna Düsseldorf,1,0
2022,3,Hamburger SV,1. FC Heidenheim 1846,1,0
2022,3,SC Paderborn 07,Hannover 96,4,2
2022,3,Jahn Regensburg,1. FC Nürnberg,0,0
2022,3,Hansa Rostock,Arminia Bielefeld,2,1
2022,3,1. FC Magdeburg,Holstein Kiel,1,2
2022,3,Eintracht Braunschweig,SV Darmstadt 98,0,1
2022,3,1. FC Kaiserslautern,FC St. Pauli,2,1
2022,4,1. FC Nürnberg,1. FC Heidenheim 1846,0,3
2022,4,1. FC Kaiserslautern,SC Paderborn 07,0,1
2022,4,Arminia Bielefeld,Hamburger SV,0,2
2022,4,Holstein Kiel,Eintracht Braunschweig,3,0
2022,4,Karlsruher SC,SV Sandhausen,3,2
2022,4,SV Darmstadt 98,Hansa Rostock,4,0
2022,4,FC St. Pauli,1. FC Magdeburg,3,0
2022,4,Fortuna Düsseldorf,SpVgg Greuther Fürth,2,2
2022,4,Hannover 96,Jahn Regensburg,1,0
2022,5,Hamburger SV,SV Darmstadt 98,1,2
2022,5,1. FC Magdeburg,Hannover 96,0,4
2022,5,SC Paderborn 07,Holstein Kiel,7,2
2022,5,SV Sandhausen,1. FC Nürnberg,1,2
2022,5,Jahn Regensburg,Karlsruher SC,0,6
2022,5,Eintracht Braunschweig,Fortuna Düsseldorf,2,2
2022,5,SpVgg Greuther Fürth,1. FC Kaiserslautern,1,3
2022,5,1. FC Heidenheim 1846,Arminia Bielefeld,1,1
2022,5,Hansa Rostock,FC St. Pauli,2,0
2022,6,Arminia Bielefeld,Eintracht Braunschweig,4,1
2022,6,Fortuna Düsseldorf,Jahn Regensburg,4,0
