season,matchday,home,away,goals_home,goals_away
2008,1,1. FSV Mainz 05,1. FC Kaiserslautern,3,3
2008,1,Alemannia Aachen,SV Wehen Wiesbaden,2,1
2008,1,FC St. Pauli,VfL Osnabrück,2,2
2008,1,1. FC Nürnberg,FC Augsburg,2,1
2008,1,SC Freiburg,TSV 1860 München,2,1
2008,1,Rot Weiss Ahlen,FSV Frankfurt,2,1
2008,1,FC Ingolstadt 04,SpVgg Greuther Fürth,3,2
2008,1,TuS Koblenz,Rot-Weiß Oberhausen,3,0
2008,1,MSV Duisburg,Hansa Rostock,2,2
2008,2,SpVgg Greuther Fürth,FC St. Pauli,5,2
2008,2,VfL Osnabrück,SC Freiburg,2,2
2008,2,FSV Frankfurt,TuS Koblenz,0,0
2008,2,Hansa Rostock,Alemannia Aachen,1,0
2008,2,SV Wehen Wiesbaden,MSV Duisburg,1,1
2008,2,TSV 1860 München,1. FSV Mainz 05,1,2
2008,2,FC Augsburg,Rot Weiss Ahlen,3,0
2008,2,Rot-Weiß Oberhausen,FC Ingolstadt 04,2,1
2008,2,1. FC Kaiserslautern,1. FC Nürnberg,2,1
2008,3,MSV Duisburg,FC Augsburg,2,0
2008,3,1. FSV Mainz 05,VfL Osnabrück,4,2
2008,3,FC Ingolstadt 04,1. FC Kaiserslautern,1,3
2008,3,1. FC Nürnberg,Alemannia Aachen,2,2
2008,3,FC St. Pauli,Rot-Weiß Oberhausen,4,1
2008,3,TuS Koblenz,SV Wehen Wiesbaden,0,0
2008,3,Rot Weiss Ahlen,TSV 1860 München,2,1
2008,3,FSV Frankfurt,SpVgg Greuther Fürth,1,1
2008,3,SC Freiburg,Hansa Rostock,1,0
2008,4,Alemannia Aachen,FC Ingolstadt 04,1,0
2008,4,1. FC Kaiserslautern,FC St. Pauli,4,1
2008,4,Rot-Weiß Oberhausen,Rot Weiss Ahlen,1,3
2008,4,Hansa Rostock,1. FSV Mainz 05,2,2
2008,4,SpVgg Greuther Fürth,TuS Koblenz,4,3
2008,4,SV Wehen Wiesbaden,1. FC Nürnberg,2,2
2008,4,VfL Osnabrück,FSV Frankfurt,3,2
2008,4,FC Augsburg,SC Freiburg,1,3
2008,4,TSV 1860 München,MSV Duisburg,2,0
2008,5,MSV Duisburg,Alemannia Aachen,3,2
2008,5,1. FSV Mainz 05,1. FC Nürnberg,2,0
2008,5,FC St. Pauli,TSV 1860 München,1,0
2008,5,TuS Koblenz,FC Augsburg,2,1
2008,5,Rot Weiss Ahlen,Hansa Rostock,2,2
2008,5,SC Freiburg,SV Wehen Wiesbaden,5,0
2008,5,FSV Frankfurt,Rot-Weiß Oberhausen,3,1
2008,5,FC Ingolstadt 04,VfL Osnabrück,2,1
2008,5,SpVgg Greuther Fürth,1. FC Kaiserslautern,0,1
2008,6,Hansa Rostock,FC St. Pauli,3,0
2008,6,VfL Osnabrück,TuS Koblenz,1,0
2008,6,Rot-Weiß Oberhausen,SpVgg Greuther Fürth,0,4
2008,6,Alemannia Aachen,SC Freiburg,1,0
2008,6,SV Wehen Wiesbaden,Rot Weiss Ahlen,1,3
2008,6,TSV 1860 München,FC Ingolstadt 04,1,1
2008,6,1. FC Kaiserslautern,FSV Frankfurt,2,1
2008,6,FC Augsburg,1. FSV Mainz 05,0,2
2008,6,1. FC Nürnberg,MSV Duisburg,0,1
2008,7,SC Freiburg,MSV Duisburg,2,0
2008,7,FSV Frankfurt,TSV 1860 München,0,3
2008,7,Rot-Weiß Oberhausen,FC Augsburg,2,1
2008,7,SpVgg Greuther Fürth,VfL Osnabrück,4,2
2008,7,FC St. Pauli,Alemannia Aachen,3,2
2008,7,TuS Koblenz,1. FC Kaiserslautern,5,0
2008,7,Rot Weiss Ahlen,1. FC Nürnberg,1,1
2008,7,FC Ingolstadt 04,Hansa Rostock,4,2
2008,7,1. FSV Mainz 05,SV Wehen Wiesbaden,5,0
2008,8,1. FC Nürnberg,SC Freiburg,2,0
2008,8,VfL Osnabrück,Rot-Weiß Oberhausen,2,1
2008,8,1. FC Kaiserslautern,Rot Weiss Ahlen,4,1
2008,8,Hansa Rostock,TuS Koblenz,9,0
2008,8,MSV Duisburg,FC Ingolstadt 04,6,1
2008,8,SV Wehen Wiesbaden,FSV Frankfurt,3,1
2008,8,TSV 1860 München,SpVgg Greuther Fürth,3,1
2008,8,FC Augsburg,FC St. Pauli,3,2
2008,8,Alemannia Aachen,1. FSV Mainz 05,2,0
2008,9,SpVgg Greuther Fürth,Alemannia Aachen,1,1
2008,9,FC St. Pauli,SV Wehen Wiesbaden,2,0
2008,9,Rot Weiss Ahlen,SC Freiburg,0,3
2008,9,FSV Frankfurt,Hansa Rostock,0,0
2008,9,FC Ingolstadt 04,FC Augsburg,1,2
2008,9,1. FSV Mainz 05,MSV Duisburg,0,0
2008,9,TuS Koblenz,1. FC Nürnberg,1,1
2008,9,VfL Osnabrück,TSV 1860 München,0,2
2008,9,Rot-Weiß Oberhausen,1. FC Kaiserslautern,2,1
2008,10,Hansa Rostock,SpVgg Greuther Fürth,1,2
2008,10,Alemannia Aachen,Rot Weiss Ahlen,0,2
2008,10,SV Wehen Wiesbaden,FC Ingolstadt 04,0,0
2008,10,FC Augsburg,FSV Frankfurt,2,2
2008,10,1. FC Nürnberg,Rot-Weiß Oberhausen,2,1
2008,10,MSV Duisburg,FC St. Pauli,1,2
2008,10,SC Freiburg,1. FSV Mainz 05,0,1
2008,10,TSV 1860 München,TuS Koblenz,1,0
2008,10,1. FC Kaiserslautern,VfL Osnabrück,2,0
2008,11,SpVgg Greuther Fürth,SV Wehen Wiesbaden,1,1
2008,11,FSV Frankfurt,Alemannia Aachen,0,3
2008,11,FC St. Pauli,1. FC Nürnberg,1,0
2008,11,TuS Koblenz,MSV Duisburg,1,1
2008,11,VfL Osnabrück,FC Augsburg,1,1
2008,11,Rot Weiss Ahlen,1. FSV Mainz 05,0,2
2008,11,Rot-Weiß Oberhausen,Hansa Rostock,1,0
2008,11,FC Ingolstadt 04,SC Freiburg,4,0
2008,11,1. FC Kaiserslautern,TSV 1860 München,0,0
2008,12,1. FC Nürnberg,FSV Frankfurt,0,0
2008,12,Alemannia Aachen,TuS Koblenz,2,0
2008,12,SV Wehen Wiesbaden,1. FC Kaiserslautern,4,2
2008,12,Hansa Rostock,VfL Osnabrück,2,2
2008,12,MSV Duisburg,Rot Weiss Ahlen,0,1
2008,12,1. FSV Mainz 05,FC Ingolstadt 04,0,3
2008,12,TSV 1860 München,Rot-Weiß Oberhausen,0,1
2008,12,FC Augsburg,SpVgg Greuther Fürth,1,1
2008,12,SC Freiburg,FC St. Pauli,2,0
2008,13,FC St. Pauli,Rot Weiss Ahlen,2,2
2008,13,TSV 1860 München,FC Augsburg,0,1
2008,13,VfL Osnabrück,SV Wehen Wiesbaden,1,1
2008,13,SpVgg Greuther Fürth,MSV Duisburg,4,3
2008,13,TuS Koblenz,1. FSV Mainz 05,0,3
2008,13,FSV Frankfurt,SC Freiburg,1,2
2008,13,Rot-Weiß Oberhausen,Alemannia Aachen,1,1
2008,13,FC Ingolstadt 04,1. FC Nürnberg,0,3
2008,13,1. FC Kaiserslautern,Hansa Rostock,6,0
2008,14,MSV Duisburg,FSV Frankfurt,0,0
2008,14,Alemannia Aachen,VfL Osnabrück,3,1
2008,14,Rot Weiss Ahlen,FC Ingolstadt 04,3,0
2008,14,1. FC Nürnberg,SpVgg Greuther Fürth,2,1
2008,14,1. FSV Mainz 05,FC St. Pauli,2,2
2008,14,SC Freiburg,TuS Koblenz,1,1
2008,14,SV Wehen Wiesbaden,Rot-Weiß Oberhausen,0,0
2008,14,FC Augsburg,1. FC Kaiserslautern,1,0
2008,14,Hansa Rostock,TSV 1860 München,0,1
2008,15,TuS Koblenz,Rot Weiss Ahlen,4,1
2008,15,VfL Osnabrück,1. FC Nürnberg,1,1
2008,15,1. FC Kaiserslautern,Alemannia Aachen,1,1
2008,15,SpVgg Greuther Fürth,SC Freiburg,1,1
2008,15,FC St. Pauli,FC Ingolstadt 04,1,0
2008,15,TSV 1860 München,SV Wehen Wiesbaden,3,3
2008,15,FC Augsburg,Hansa Rostock,2,0
2008,15,Rot-Weiß Oberhausen,MSV Duisburg,0,3
2008,15,FSV Frankfurt,1. FSV Mainz 05,1,4
2008,16,1. FSV Mainz 05,SpVgg Greuther Fürth,0,1
2008,16,Alemannia Aachen,TSV 1860 München,2,0
2008,16,FC Ingolstadt 04,FSV Frankfurt,1,1
2008,16,MSV Duisburg,1. FC Kaiserslautern,0,0
2008,16,SC Freiburg,Rot-Weiß Oberhausen,2,1
2008,16,SV Wehen Wiesbaden,FC Augsburg,1,2
2008,16,FC St. Pauli,TuS Koblenz,3,2
