season,matchday,home,away,goals_home,goals_away
1996,1,Fortuna Köln,VfL Wolfsburg,2,0
1996,1,Hertha BSC,1. FSV Mainz 05,1,0
1996,1,VfB Leipzig,KFC Uerdingen 05,3,1
1996,1,Rot-Weiss Essen,Stuttgarter Kickers,0,4
1996,1,FSV Zwickau,Waldhof Mannheim,2,0
1996,1,VfB Oldenburg,SV Meppen,1,1
1996,1,VfB Lübeck,Eintracht Frankfurt,1,1
1996,1,FC Gütersloh,FC Carl Zeiss Jena,0,0
1996,1,1. FC Kaiserslautern,SpVgg Unterhaching,0,0
1996,2,1. FSV Mainz 05,VfB Leipzig,2,1
1996,2,SV Meppen,VfB Lübeck,2,0
1996,2,Waldhof Mannheim,Fortuna Köln,3,3
1996,2,Eintracht Frankfurt,FSV Zwickau,2,1
1996,2,Stuttgarter Kickers,1. FC Kaiserslautern,0,2
1996,2,FC Carl Zeiss Jena,Rot-Weiss Essen,4,0
1996,2,KFC Uerdingen 05,FC Gütersloh,0,2
1996,2,SpVgg Unterhaching,VfB Oldenburg,1,1
1996,2,VfL Wolfsburg,Hertha BSC,1,1
1996,3,Fortuna Köln,Hertha BSC,2,0
1996,3,1. FC Kaiserslautern,FC Carl Zeiss Jena,2,0
1996,3,FSV Zwickau,SV Meppen,1,1
1996,3,VfB Leipzig,VfL Wolfsburg,0,2
1996,3,Rot-Weiss Essen,KFC Uerdingen 05,1,2
1996,3,VfB Oldenburg,Stuttgarter Kickers,1,1
1996,3,VfB Lübeck,SpVgg Unterhaching,0,0
1996,3,FC Gütersloh,1. FSV Mainz 05,0,0
1996,3,Waldhof Mannheim,Eintracht Frankfurt,1,2
1996,4,1. FSV Mainz 05,Rot-Weiss Essen,2,1
1996,4,SpVgg Unterhaching,FSV Zwickau,2,1
1996,4,VfL Wolfsburg,FC Gütersloh,3,0
1996,4,SV Meppen,Waldhof Mannheim,1,1
1996,4,Eintracht Frankfurt,Fortuna Köln,3,1
1996,4,Stuttgarter Kickers,VfB Lübeck,2,3
1996,4,FC Carl Zeiss Jena,VfB Oldenburg,3,1
1996,4,KFC Uerdingen 05,1. FC Kaiserslautern,0,1
1996,4,Hertha BSC,VfB Leipzig,1,1
1996,5,1. FC Kaiserslautern,1. FSV Mainz 05,1,1
1996,5,Rot-Weiss Essen,VfL Wolfsburg,0,1
1996,5,Waldhof Mannheim,SpVgg Unterhaching,1,1
1996,5,Fortuna Köln,VfB Leipzig,2,3
1996,5,FC Gütersloh,Hertha BSC,1,0
1996,5,VfB Oldenburg,KFC Uerdingen 05,1,2
1996,5,VfB Lübeck,FC Carl Zeiss Jena,1,0
1996,5,Eintracht Frankfurt,SV Meppen,0,1
1996,5,FSV Zwickau,Stuttgarter Kickers,0,1
1996,6,1. FSV Mainz 05,VfB Oldenburg,3,0
1996,6,Stuttgarter Kickers,Waldhof Mannheim,2,1
1996,6,VfB Leipzig,FC Gütersloh,3,1
1996,6,KFC Uerdingen 05,VfB Lübeck,5,0
1996,6,Hertha BSC,Rot-Weiss Essen,7,3
1996,6,SpVgg Unterhaching,Eintracht Frankfurt,2,1
1996,6,FC Carl Zeiss Jena,FSV Zwickau,2,1
1996,6,SV Meppen,Fortuna Köln,0,3
1996,6,VfL Wolfsburg,1. FC Kaiserslautern,0,0
1996,7,VfB Lübeck,1. FSV Mainz 05,0,2
1996,7,1. FC Kaiserslautern,Hertha BSC,0,0
1996,7,Fortuna Köln,FC Gütersloh,3,0
1996,7,Waldhof Mannheim,FC Carl Zeiss Jena,4,0
1996,7,Eintracht Frankfurt,Stuttgarter Kickers,0,1
1996,7,FSV Zwickau,KFC Uerdingen 05,2,1
1996,7,SV Meppen,SpVgg Unterhaching,1,1
1996,7,VfB Oldenburg,VfL Wolfsburg,1,4
1996,7,Rot-Weiss Essen,VfB Leipzig,4,1
1996,8,KFC Uerdingen 05,Waldhof Mannheim,4,1
1996,8,VfL Wolfsburg,VfB Lübeck,0,0
1996,8,Stuttgarter Kickers,SV Meppen,0,0
1996,8,1. FSV Mainz 05,FSV Zwickau,1,1
1996,8,VfB Leipzig,1. FC Kaiserslautern,2,2
1996,8,SpVgg Unterhaching,Fortuna Köln,0,0
1996,8,FC Gütersloh,Rot-Weiss Essen,2,3
1996,8,FC Carl Zeiss Jena,Eintracht Frankfurt,1,1
1996,8,Hertha BSC,VfB Oldenburg,1,0
1996,9,VfB Oldenburg,VfB Leipzig,4,1
1996,9,Eintracht Frankfurt,KFC Uerdingen 05,0,1
1996,9,Fortuna Köln,Rot-Weiss Essen,1,1
1996,9,VfB Lübeck,Hertha BSC,1,4
1996,9,1. FC Kaiserslautern,FC Gütersloh,2,0
1996,9,FSV Zwickau,VfL Wolfsburg,0,0
1996,9,SpVgg Unterhaching,Stuttgarter Kickers,1,1
1996,9,Waldhof Mannheim,1. FSV Mainz 05,2,2
1996,9,SV Meppen,FC Carl Zeiss Jena,0,0
1996,10,Rot-Weiss Essen,1. FC Kaiserslautern,1,4
1996,10,VfL Wolfsburg,Waldhof Mannheim,1,1
1996,10,FC Carl Zeiss Jena,SpVgg Unterhaching,1,1
1996,10,KFC Uerdingen 05,SV Meppen,0,0
