season,matchday,home,away,goals_home,goals_away
1999,1,Chemnitzer FC,Bor. Mönchengladbach,2,0
1999,1,FC St. Pauli,SpVgg Greuther Fürth,0,0
1999,1,1. FSV Mainz 05,Kickers Offenbach,1,1
1999,1,Energie Cottbus,Fortuna Köln,2,0
1999,1,1. FC Köln,Rot-Weiß Oberhausen,1,0
1999,1,Alemannia Aachen,Stuttgarter Kickers,4,1
1999,1,Hannover 96,TeBe Berlin,2,3
1999,1,1. FC Nürnberg,Waldhof Mannheim,3,0
1999,1,Karlsruher SC,VfL Bochum,1,3
1999,2,Waldhof Mannheim,Chemnitzer FC,4,0
1999,2,VfL Bochum,Alemannia Aachen,5,0
1999,2,SpVgg Greuther Fürth,1. FC Köln,0,0
1999,2,TeBe Berlin,Karlsruher SC,2,2
1999,2,Fortuna Köln,1. FSV Mainz 05,2,1
1999,2,Bor. Mönchengladbach,Hannover 96,2,3
1999,2,Stuttgarter Kickers,FC St. Pauli,2,1
1999,2,Rot-Weiß Oberhausen,Energie Cottbus,0,4
1999,2,Kickers Offenbach,1. FC Nürnberg,1,3
1999,3,Chemnitzer FC,Kickers Offenbach,3,0
1999,3,1. FC Köln,Stuttgarter Kickers,4,1
1999,3,Hannover 96,Waldhof Mannheim,2,2
1999,3,Alemannia Aachen,TeBe Berlin,2,2
1999,3,FC St. Pauli,VfL Bochum,0,0
1999,3,1. FC Nürnberg,Fortuna Köln,2,1
1999,3,Rot-Weiß Oberhausen,SpVgg Greuther Fürth,3,4
1999,3,Energie Cottbus,1. FSV Mainz 05,3,0
1999,3,Karlsruher SC,Bor. Mönchengladbach,3,0
1999,4,Waldhof Mannheim,Karlsruher SC,1,1
1999,4,TeBe Berlin,FC St. Pauli,2,0
1999,4,Kickers Offenbach,Hannover 96,0,2
1999,4,Bor. Mönchengladbach,Alemannia Aachen,1,2
1999,4,Fortuna Köln,Chemnitzer FC,1,0
1999,4,Stuttgarter Kickers,Rot-Weiß Oberhausen,2,2
1999,4,SpVgg Greuther Fürth,Energie Cottbus,1,0
1999,4,1. FSV Mainz 05,1. FC Nürnberg,1,1
1999,4,VfL Bochum,1. FC Köln,2,3
1999,5,FC St. Pauli,Bor. Mönchengladbach,0,2
1999,5,Karlsruher SC,Kickers Offenbach,1,1
1999,5,Rot-Weiß Oberhausen,VfL Bochum,3,0
1999,5,Chemnitzer FC,1. FSV Mainz 05,1,1
1999,5,Alemannia Aachen,Waldhof Mannheim,2,1
1999,5,Hannover 96,Fortuna Köln,3,1
1999,5,SpVgg Greuther Fürth,Stuttgarter Kickers,0,0
1999,5,Energie Cottbus,1. FC Nürnberg,2,0
1999,5,1. FC Köln,TeBe Berlin,1,1
1999,6,VfL Bochum,SpVgg Greuther Fürth,1,2
1999,6,1. FC Nürnberg,Chemnitzer FC,1,0
1999,6,1. FSV Mainz 05,Hannover 96,1,0
1999,6,Fortuna Köln,Karlsruher SC,2,3
1999,6,Waldhof Mannheim,FC St. Pauli,1,3
1999,6,TeBe Berlin,Rot-Weiß Oberhausen,1,0
1999,6,Stuttgarter Kickers,Energie Cottbus,1,0
1999,6,Kickers Offenbach,Alemannia Aachen,1,2
1999,6,Bor. Mönchengladbach,1. FC Köln,3,1
1999,7,1. FC Köln,Waldhof Mannheim,3,0
1999,7,FC St. Pauli,Kickers Offenbach,1,1
1999,7,Alemannia Aachen,Fortuna Köln,1,1
1999,7,Karlsruher SC,1. FSV Mainz 05,1,2
1999,7,Stuttgarter Kickers,VfL Bochum,0,0
1999,7,SpVgg Greuther Fürth,TeBe Berlin,2,0
1999,7,Rot-Weiß Oberhausen,Bor. Mönchengladbach,1,1
1999,7,Energie Cottbus,Chemnitzer FC,2,4
