season,matchday,home,away,goals_home,goals_away
2021,1,FC Schalke 04,Hamburger SV,1,3
2021,1,SV Darmstadt 98,Jahn Regensburg,0,2
2021,1,1. FC Heidenheim 1846,SC Paderborn 07,0,0
2021,1,Dynamo Dresden,FC Ingolstadt 04,3,0
2021,1,Hansa Rostock,Karlsruher SC,1,3
2021,1,Werder Bremen,Hannover 96,1,1
2021,1,FC St. Pauli,Holstein Kiel,3,0
2021,1,1. FC Nürnberg,Erzgebirge Aue,0,0
2021,1,SV Sandhausen,Fortuna Düsseldorf,0,2
2021,2,Karlsruher SC,SV Darmstadt 98,3,0
2021,2,SC Paderborn 07,1. FC Nürnberg,2,2
2021,2,Hannover 96,Hansa Rostock,0,3
2021,2,Jahn Regensburg,SV Sandhausen,3,0
2021,2,FC Ingolstadt 04,1. FC Heidenheim 1846,1,2
2021,2,Fortuna Düsseldorf,Werder Bremen,2,3
2021,2,Holstein Kiel,FC Schalke 04,0,3
2021,2,Hamburger SV,Dynamo Dresden,1,1
2021,2,Erzgebirge Aue,FC St. Pauli,0,0
2021,3,FC Schalke 04,Erzgebirge Aue,1,1
2021,3,FC St. Pauli,Hamburger SV,3,2
2021,3,Holstein Kiel,Jahn Regensburg,0,3
2021,3,1. FC Nürnberg,Fortuna Düsseldorf,2,0
2021,3,SV Sandhausen,Karlsruher SC,0,0
2021,3,Dynamo Dresden,Hannover 96,2,0
2021,3,Werder Bremen,SC Paderborn 07,1,4
2021,3,SV Darmstadt 98,FC Ingolstadt 04,6,1
2021,3,1. FC Heidenheim 1846,Hansa Rostock,1,1
2021,4,Fortuna Düsseldorf,Holstein Kiel,2,2
2021,4,Hannover 96,1. FC Heidenheim 1846,1,0
2021,4,Karlsruher SC,Werder Bremen,0,0
2021,4,SC Paderborn 07,FC St. Pauli,3,1
2021,4,Jahn Regensburg,FC Schalke 04,4,1
2021,4,Hansa Rostock,Dynamo Dresden,1,3
2021,4,Hamburger SV,SV Darmstadt 98,2,2
2021,4,Erzgebirge Aue,SV Sandhausen,1,3
2021,4,FC Ingolstadt 04,1. FC Nürnberg,0,0
2021,5,1. FC Nürnberg,Karlsruher SC,2,1
2021,5,SV Sandhausen,FC Ingolstadt 04,0,2
2021,5,Holstein Kiel,Erzgebirge Aue,3,0
2021,5,SV Darmstadt 98,Hannover 96,4,0
2021,5,1. FC Heidenheim 1846,Hamburger SV,0,0
2021,5,FC Schalke 04,Fortuna Düsseldorf,3,1
2021,5,Werder Bremen,Hansa Rostock,3,0
2021,5,FC St. Pauli,Jahn Regensburg,2,0
2021,5,Dynamo Dresden,SC Paderborn 07,0,3
2021,6,Karlsruher SC,Holstein Kiel,2,2
2021,6,Hannover 96,FC St. Pauli,1,0
2021,6,FC Ingolstadt 04,Werder Bremen,0,3
2021,6,Hamburger SV,SV Sandhausen,2,1
2021,6,1. FC Heidenheim 1846,Dynamo Dresden,2,1
2021,6,SC Paderborn 07,FC Schalke 04,0,1
2021,6,Erzgebirge Aue,Fortuna Düsseldorf,0,1
2021,6,Jahn Regensburg,1. FC Nürnberg,2,2
2021,6,Hansa Rostock,SV Darmstadt 98,2,1
2021,7,FC Schalke 04,Karlsruher SC,1,2
2021,7,1. FC Nürnberg,Hansa Rostock,1,0
2021,7,Holstein Kiel,Hannover 96,0,3
2021,7,Fortuna Düsseldorf,Jahn Regensburg,1,1
2021,7,SV Sandhausen,1. FC Heidenheim 1846,1,3
2021,7,Werder Bremen,Hamburger SV,0,2
2021,7,SV Darmstadt 98,Dynamo Dresden,1,0
2021,7,FC St. Pauli,FC Ingolstadt 04,4,1
2021,7,Erzgebirge Aue,SC Paderborn 07,1,4
2021,8,1. FC Heidenheim 1846,SV Darmstadt 98,2,1
2021,8,Jahn Regensburg,Erzgebirge Aue,3,2
2021,8,Karlsruher SC,FC St. Pauli,1,3
2021,8,FC Ingolstadt 04,Fortuna Düsseldorf,1,2
2021,8,SC Paderborn 07,Holstein Kiel,1,2
2021,8,Hansa Rostock,FC Schalke 04,0,2
2021,8,Hamburger SV,1. FC Nürnberg,2,2
2021,8,Hannover 96,SV Sandhausen,1,2
2021,8,Dynamo Dresden,Werder Bremen,3,0
2021,9,Werder Bremen,1. FC Heidenheim 1846,3,0
2021,9,Erzgebirge Aue,Hamburger SV,1,1
2021,9,Holstein Kiel,Hansa Rostock,0,2
2021,9,Fortuna Düsseldorf,SC Paderborn 07,2,3
2021,9,Jahn Regensburg,Karlsruher SC,2,2
2021,9,1. FC Nürnberg,Hannover 96,0,0
2021,9,FC Schalke 04,FC Ingolstadt 04,3,0
2021,9,FC St. Pauli,Dynamo Dresden,3,0
2021,9,SV Sandhausen,SV Darmstadt 98,1,6
2021,10,SC Paderborn 07,Jahn Regensburg,1,1
2021,10,Hannover 96,FC Schalke 04,0,1
2021,10,Karlsruher SC,Erzgebirge Aue,2,1
2021,10,1. FC Heidenheim 1846,FC St. Pauli,2,4
2021,10,FC Ingolstadt 04,Holstein Kiel,1,1
2021,10,Hamburger SV,Fortuna Düsseldorf,1,1
2021,10,SV Darmstadt 98,Werder Bremen,3,0
2021,10,Dynamo Dresden,1. FC Nürnberg,0,1
2021,10,Hansa Rostock,SV Sandhausen,1,1
2021,11,SC Paderborn 07,Hamburger SV,1,2
2021,11,Erzgebirge Aue,FC Ingolstadt 04,1,0
2021,11,Holstein Kiel,SV Darmstadt 98,1,1
2021,11,Fortuna Düsseldorf,Karlsruher SC,3,1
2021,11,1. FC Nürnberg,1. FC Heidenheim 1846,4,0
2021,11,FC Schalke 04,Dynamo Dresden,3,0
2021,11,FC St. Pauli,Hansa Rostock,4,0
2021,11,Jahn Regensburg,Hannover 96,3,1
2021,11,SV Sandhausen,Werder Bremen,2,2
2021,12,SV Darmstadt 98,1. FC Nürnberg,2,0
2021,12,1. FC Heidenheim 1846,FC Schalke 04,1,0
2021,12,Werder Bremen,FC St. Pauli,1,1
2021,12,Hannover 96,Erzgebirge Aue,1,1
2021,12,Dynamo Dresden,SV Sandhausen,0,1
2021,12,Hamburger SV,Holstein Kiel,1,1
2021,12,Karlsruher SC,SC Paderborn 07,2,4
2021,12,Hansa Rostock,Fortuna Düsseldorf,2,1
2021,12,FC Ingolstadt 04,Jahn Regensburg,0,3
2021,13,Holstein Kiel,Dynamo Dresden,2,1
2021,13,1. FC Nürnberg,Werder Bremen,1,2
2021,13,Fortuna Düsseldorf,Hannover 96,1,1
2021,13,SC Paderborn 07,FC Ingolstadt 04,2,1
2021,13,Jahn Regensburg,Hansa Rostock,2,3
2021,13,Karlsruher SC,Hamburger SV,1,1
2021,13,FC Schalke 04,SV Darmstadt 98,2,4
2021,13,Erzgebirge Aue,1. FC Heidenheim 1846,2,0
2021,13,FC St. Pauli,SV Sandhausen,3,1
2021,14,Hannover 96,SC Paderborn 07,0,0
2021,14,SV Sandhausen,1. FC Nürnberg,1,2
2021,14,Hamburger SV,Jahn Regensburg,4,1
2021,14,SV Darmstadt 98,FC St. Pauli,4,0
2021,14,Hansa Rostock,Erzgebirge Aue,1,2
2021,14,Werder Bremen,FC Schalke 04,1,1
2021,14,1. FC Heidenheim 1846,Holstein Kiel,2,1
2021,14,Dynamo Dresden,Fortuna Düsseldorf,1,0
2021,14,FC Ingolstadt 04,Karlsruher SC,1,1
2021,15,Fortuna Düsseldorf,1. FC Heidenheim 1846,0,1
2021,15,Jahn Regensburg,Dynamo Dresden,3,1
2021,15,FC Schalke 04,SV Sandhausen,5,2
2021,15,Karlsruher SC,Hannover 96,4,0
2021,15,Erzgebirge Aue,SV Darmstadt 98,1,2
2021,15,Holstein Kiel,Werder Bremen,2,1
2021,15,Hamburger SV,FC Ingolstadt 04,3,0
2021,15,SC Paderborn 07,Hansa Rostock,1,1
2021,15,1. FC Nürnberg,FC St. Pauli,2,3
2021,16,Werder Bremen,Erzgebirge Aue,4,0
2021,16,SV Darmstadt 98,Fortuna Düsseldorf,1,3
2021,16,1. FC Nürnberg,Holstein Kiel,2,1
2021,16,SV Sandhausen,SC Paderborn 07,1,1
2021,16,Hansa Rostock,FC Ingolstadt 04,1,1
2021,16,FC St. Pauli,FC Schalke 04,2,1
2021,16,1. FC Heidenheim 1846,Jahn Regensburg,3,0
2021,16,Hannover 96,Hamburger SV,1,0
2021,16,Dynamo Dresden,Karlsruher SC,3,1
2021,17,FC Schalke 04,1. FC Nürnberg,4,1
2021,17,Jahn Regensburg,Werder Bremen,2,3
2021,17,Holstein Kiel,SV Sandhausen,2,2
2021,17,SC Paderborn 07,SV Darmstadt 98,0,1
2021,17,FC Ingolstadt 04,Hannover 96,1,2
2021,17,Fortuna Düsseldorf,FC St. Pauli,1,1
2021,17,Hamburger SV,Hansa Rostock,3,0
2021,17,Karlsruher SC,1. FC Heidenheim 1846,3,2
2021,17,Erzgebirge Aue,Dynamo Dresden,0,1
2021,18,Holstein Kiel,FC St. Pauli,3,0
2021,18,Fortuna Düsseldorf,SV Sandhausen,0,1
2021,18,SC Paderborn 07,1. FC Heidenheim 1846,1,2
2021,18,Erzgebirge Aue,1. FC Nürnberg,1,3
2021,18,FC Ingolstadt 04,Dynamo Dresden,3,0
2021,18,Hamburger SV,FC Schalke 04,1,1
2021,18,Hannover 96,Werder Bremen,1,4
2021,18,Jahn Regensburg,SV Darmstadt 98,0,2
2021,18,Karlsruher SC,Hansa Rostock,2,2
2021,19,Dynamo Dresden,Hamburger SV,1,1
2021,19,Hansa Rostock,Hannover 96,0,1
2021,19,Werder Bremen,Fortuna Düsseldorf,3,0
2021,19,1. FC Nürnberg,SC Paderborn 07,1,2
2021,19,FC St. Pauli,Erzgebirge Aue,2,2
2021,19,SV Darmstadt 98,Karlsruher SC,2,2
2021,19,FC Schalke 04,Holstein Kiel,1,1
2021,19,SV Sandhausen,Jahn Regensburg,0,3
2021,19,1. FC Heidenheim 1846,FC Ingolstadt 04,2,1
2021,20,Hamburger SV,FC St. Pauli,2,1
2021,20,Fortuna Düsseldorf,1. FC Nürnberg,0,1
2021,20,SC Paderborn 07,Werder Bremen,3,4
2021,20,FC Ingolstadt 04,SV Darmstadt 98,0,2
2021,20,Hansa Rostock,1. FC Heidenheim 1846,0,0
2021,20,Erzgebirge Aue,FC Schalke 04,0,5
2021,20,Jahn Regensburg,Holstein Kiel,1,2
2021,20,Hannover 96,Dynamo Dresden,0,0
2021,20,Karlsruher SC,SV Sandhausen,0,2
2021,21,1. FC Heidenheim 1846,Hannover 96,3,1
2021,21,1. FC Nürnberg,FC Ingolstadt 04,0,5
2021,21,Werder Bremen,Karlsruher SC,2,1
2021,21,SV Sandhausen,Erzgebirge Aue,2,0
2021,21,FC Schalke 04,Jahn Regensburg,2,1
2021,21,FC St. Pauli,SC Paderborn 07,2,2
2021,21,SV Darmstadt 98,Hamburger SV,0,5
2021,21,Holstein Kiel,Fortuna Düsseldorf,1,0
2021,21,Dynamo Dresden,Hansa Rostock,1,4
2021,22,Erzgebirge Aue,Holstein Kiel,2,3
2021,22,Hansa Rostock,Werder Bremen,1,2
2021,22,Hamburger SV,1. FC Heidenheim 1846,2,0
2021,22,Karlsruher SC,1. FC Nürnberg,4,1
2021,22,SC Paderborn 07,Dynamo Dresden,0,0
2021,22,Jahn Regensburg,FC St. Pauli,2,3
2021,22,Fortuna Düsseldorf,FC Schalke 04,2,1
2021,22,Hannover 96,SV Darmstadt 98,2,2
2021,22,FC Ingolstadt 04,SV Sandhausen,0,0
2021,23,Dynamo Dresden,1. FC Heidenheim 1846,1,1
2021,23,FC Schalke 04,SC Paderborn 07,2,0
2021,23,SV Sandhausen,Hamburger SV,1,1
2021,23,Holstein Kiel,Karlsruher SC,0,2
2021,23,Werder Bremen,FC Ingolstadt 04,1,1
2021,23,1. FC Nürnberg,Jahn Regensburg,2,0
2021,23,Fortuna Düsseldorf,Erzgebirge Aue,3,1
2021,23,FC St. Pauli,Hannover 96,0,3
2021,23,SV Darmstadt 98,Hansa Rostock,1,1
2021,24,SC Paderborn 07,Erzgebirge Aue,3,3
2021,24,Hannover 96,Holstein Kiel,2,0
2021,24,Karlsruher SC,FC Schalke 04,1,1
2021,24,Hansa Rostock,1. FC Nürnberg,0,2
2021,24,FC Ingolstadt 04,FC St. Pauli,1,3
2021,24,Dynamo Dresden,SV Darmstadt 98,0,1
2021,24,Hamburger SV,Werder Bremen,2,3
2021,24,1. FC Heidenheim 1846,SV Sandhausen,1,1
2021,24,Jahn Regensburg,Fortuna Düsseldorf,0,0
2021,25,SV Darmstadt 98,1. FC Heidenheim 1846,3,2
2021,25,Holstein Kiel,SC Paderborn 07,3,4
2021,25,FC St. Pauli,Karlsruher SC,3,1
2021,25,SV Sandhausen,Hannover 96,3,1
2021,25,FC Schalke 04,Hansa Rostock,3,4
2021,25,1. FC Nürnberg,Hamburger SV,2,1
2021,25,Erzgebirge Aue,Jahn Regensburg,1,0
2021,25,Werder Bremen,Dynamo Dresden,2,1
2021,25,Fortuna Düsseldorf,FC Ingolstadt 04,3,0
2021,26,SV Darmstadt 98,SV Sandhausen,1,1
2021,26,Hansa Rostock,Holstein Kiel,3,2
2021,26,SC Paderborn 07,Fortuna Düsseldorf,1,1
2021,26,Dynamo Dresden,FC St. Pauli,1,1
2021,26,1. FC Heidenheim 1846,Werder Bremen,2,1
2021,26,Karlsruher SC,Jahn Regensburg,1,1
2021,26,Hannover 96,1. FC Nürnberg,0,3
2021,26,FC Ingolstadt 04,FC Schalke 04,0,3
2021,26,Hamburger SV,Erzgebirge Aue,4,0
2021,27,Erzgebirge Aue,Karlsruher SC,0,3
2021,27,FC St. Pauli,1. FC Heidenheim 1846,1,0
2021,27,Fortuna Düsseldorf,Hamburger SV,1,1
2021,27,FC Schalke 04,Hannover 96,2,1
2021,27,SV Sandhausen,Hansa Rostock,0,1
2021,27,Werder Bremen,SV Darmstadt 98,1,0
2021,27,Jahn Regensburg,SC Paderborn 07,1,0
2021,27,1. FC Nürnberg,Dynamo Dresden,1,1
2021,27,Holstein Kiel,FC Ingolstadt 04,1,0
2021,28,Dynamo Dresden,FC Schalke 04,1,2
2021,28,FC Ingolstadt 04,Erzgebirge Aue,3,2
2021,28,Hamburger SV,SC Paderborn 07,1,2
2021,28,SV Darmstadt 98,Holstein Kiel,3,1
2021,28,Hannover 96,Jahn Regensburg,1,1
