season,matchday,home,away,goals_home,goals_away
2013,1,SV Sandhausen,VfR Aalen,0,0
2013,1,FC Ingolstadt 04,Erzgebirge Aue,1,2
2013,1,FC St. Pauli,TSV 1860 München,1,0
2013,1,SC Paderborn 07,1. FC Kaiserslautern,0,1
2013,1,Dynamo Dresden,1. FC Köln,1,1
2013,1,SpVgg Greuther Fürth,Arminia Bielefeld,2,0
2013,1,FSV Frankfurt,Karlsruher SC,0,1
2013,1,1. FC Union Berlin,VfL Bochum,1,2
2013,1,Fortuna Düsseldorf,Energie Cottbus,1,0
2013,2,VfR Aalen,SpVgg Greuther Fürth,0,2
2013,2,Arminia Bielefeld,1. FC Union Berlin,1,1
2013,2,1. FC Kaiserslautern,FC Ingolstadt 04,3,1
2013,2,Erzgebirge Aue,SV Sandhausen,1,0
2013,2,Karlsruher SC,FC St. Pauli,0,0
2013,2,TSV 1860 München,FSV Frankfurt,2,1
2013,2,Energie Cottbus,SC Paderborn 07,4,0
2013,2,1. FC Köln,Fortuna Düsseldorf,1,1
2013,2,VfL Bochum,Dynamo Dresden,1,1
2013,3,Fortuna Düsseldorf,TSV 1860 München,1,2
2013,3,FSV Frankfurt,VfL Bochum,1,0
2013,3,Dynamo Dresden,1. FC Union Berlin,1,3
2013,3,SC Paderborn 07,1. FC Köln,1,1
2013,3,FC Ingolstadt 04,Karlsruher SC,0,2
2013,3,FC St. Pauli,Arminia Bielefeld,0,1
2013,3,SV Sandhausen,Energie Cottbus,2,2
2013,3,Erzgebirge Aue,VfR Aalen,0,1
2013,3,SpVgg Greuther Fürth,1. FC Kaiserslautern,2,1
2013,4,Karlsruher SC,SpVgg Greuther Fürth,1,2
2013,4,Arminia Bielefeld,SC Paderborn 07,3,3
2013,4,VfL Bochum,FC St. Pauli,2,2
2013,4,1. FC Kaiserslautern,Erzgebirge Aue,2,1
2013,4,1. FC Köln,SV Sandhausen,2,0
2013,4,TSV 1860 München,FC Ingolstadt 04,1,0
2013,4,Energie Cottbus,VfR Aalen,5,1
