season,matchday,home,away,goals_home,goals_away
2020,1,Hamburger SV,Fortuna Düsseldorf,2,1
2020,1,Jahn Regensburg,1. FC Nürnberg,1,1
2020,1,Hannover 96,Karlsruher SC,2,0
2020,1,SV Sandhausen,SV Darmstadt 98,3,2
2020,1,Würzburger Kickers,Erzgebirge Aue,0,3
2020,1,1. FC Heidenheim 1846,Eintracht Braunschweig,2,0
2020,1,Holstein Kiel,SC Paderborn 07,1,0
2020,1,SpVgg Greuther Fürth,VfL Osnabrück,1,1
2020,1,VfL Bochum,FC St. Pauli,2,2
2020,2,Erzgebirge Aue,SpVgg Greuther Fürth,1,1
2020,2,VfL Osnabrück,Hannover 96,2,1
2020,2,Fortuna Düsseldorf,Würzburger Kickers,1,0
2020,2,SV Darmstadt 98,Jahn Regensburg,0,0
2020,2,Eintracht Braunschweig,Holstein Kiel,0,0
2020,2,FC St. Pauli,1. FC Heidenheim 1846,4,2
2020,2,Karlsruher SC,VfL Bochum,0,1
2020,2,1. FC Nürnberg,SV Sandhausen,1,0
2020,2,SC Paderborn 07,Hamburger SV,3,4
2020,3,VfL Bochum,VfL Osnabrück,0,0
2020,3,SV Sandhausen,FC St. Pauli,1,0
2020,3,1. FC Heidenheim 1846,SC Paderborn 07,0,0
2020,3,Hannover 96,Eintracht Braunschweig,4,1
2020,3,Jahn Regensburg,Karlsruher SC,1,0
2020,3,Holstein Kiel,Fortuna Düsseldorf,2,1
2020,3,Würzburger Kickers,SpVgg Greuther Fürth,2,2
2020,3,1. FC Nürnberg,SV Darmstadt 98,2,3
2020,3,Hamburger SV,Erzgebirge Aue,3,0
2020,4,SpVgg Greuther Fürth,Hamburger SV,0,1
2020,4,Karlsruher SC,SV Sandhausen,3,0
2020,4,Eintracht Braunschweig,VfL Bochum,2,1
2020,4,Fortuna Düsseldorf,Jahn Regensburg,2,2
2020,4,SC Paderborn 07,Hannover 96,1,0
2020,4,Erzgebirge Aue,1. FC Heidenheim 1846,2,1
2020,4,Würzburger Kickers,Holstein Kiel,0,2
2020,4,FC St. Pauli,1. FC Nürnberg,2,2
2020,4,VfL Osnabrück,SV Darmstadt 98,1,1
2020,5,Jahn Regensburg,Eintracht Braunschweig,3,0
2020,5,1. FC Nürnberg,Karlsruher SC,1,1
2020,5,Hamburger SV,Würzburger Kickers,3,1
2020,5,SV Darmstadt 98,FC St. Pauli,2,2
2020,5,Hannover 96,Fortuna Düsseldorf,3,0
2020,5,Holstein Kiel,SpVgg Greuther Fürth,1,3
2020,5,1. FC Heidenheim 1846,VfL Osnabrück,1,1
2020,5,VfL Bochum,Erzgebirge Aue,2,0
2020,5,SV Sandhausen,SC Paderborn 07,1,1
2020,6,Fortuna Düsseldorf,1. FC Heidenheim 1846,1,0
2020,6,Hamburger SV,FC St. Pauli,2,2
2020,6,SC Paderborn 07,Jahn Regensburg,3,1
2020,6,Erzgebirge Aue,Holstein Kiel,1,1
2020,6,VfL Osnabrück,SV Sandhausen,2,1
2020,6,Eintracht Braunschweig,1. FC Nürnberg,3,2
2020,6,SpVgg Greuther Fürth,Hannover 96,4,1
2020,6,Karlsruher SC,SV Darmstadt 98,3,4
2020,6,Würzburger Kickers,VfL Bochum,2,3
2020,7,1. FC Heidenheim 1846,Würzburger Kickers,4,1
2020,7,SV Sandhausen,Eintracht Braunschweig,2,2
2020,7,Hannover 96,Erzgebirge Aue,0,0
2020,7,VfL Bochum,SpVgg Greuther Fürth,0,2
2020,7,1. FC Nürnberg,Fortuna Düsseldorf,1,1
2020,7,SV Darmstadt 98,SC Paderborn 07,0,4
2020,7,Jahn Regensburg,VfL Osnabrück,2,4
2020,7,FC St. Pauli,Karlsruher SC,0,3
2020,7,Holstein Kiel,Hamburger SV,1,1
2020,8,Fortuna Düsseldorf,SV Sandhausen,1,0
2020,8,SC Paderborn 07,FC St. Pauli,2,0
2020,8,Holstein Kiel,1. FC Heidenheim 1846,2,2
2020,8,Eintracht Braunschweig,Karlsruher SC,1,3
2020,8,Hamburger SV,VfL Bochum,1,3
2020,8,Erzgebirge Aue,SV Darmstadt 98,3,0
2020,8,SpVgg Greuther Fürth,Jahn Regensburg,3,1
2020,8,Würzburger Kickers,Hannover 96,2,1
2020,8,VfL Osnabrück,1. FC Nürnberg,1,4
2020,9,SV Darmstadt 98,Eintracht Braunschweig,4,0
2020,9,FC St. Pauli,VfL Osnabrück,0,1
2020,9,SV Sandhausen,Erzgebirge Aue,1,4
2020,9,Jahn Regensburg,Würzburger Kickers,2,1
2020,9,Karlsruher SC,SC Paderborn 07,1,0
2020,9,1. FC Heidenheim 1846,Hamburger SV,3,2
2020,9,Hannover 96,Holstein Kiel,0,3
2020,9,1. FC Nürnberg,SpVgg Greuther Fürth,2,3
2020,9,VfL Bochum,Fortuna Düsseldorf,5,0
2020,10,Fortuna Düsseldorf,SV Darmstadt 98,3,2
2020,10,Holstein Kiel,VfL Bochum,3,1
2020,10,Hamburger SV,Hannover 96,0,1
2020,10,SpVgg Greuther Fürth,1. FC Heidenheim 1846,0,1
2020,10,VfL Osnabrück,Karlsruher SC,1,2
2020,10,Eintracht Braunschweig,FC St. Pauli,2,1
2020,10,SC Paderborn 07,1. FC Nürnberg,0,2
2020,10,Erzgebirge Aue,Jahn Regensburg,0,2
2020,10,Würzburger Kickers,SV Sandhausen,2,3
2020,11,VfL Bochum,SC Paderborn 07,3,0
2020,11,SV Sandhausen,SpVgg Greuther Fürth,0,3
2020,11,1. FC Heidenheim 1846,Hannover 96,1,0
2020,11,SV Darmstadt 98,Hamburger SV,1,2
2020,11,Jahn Regensburg,Holstein Kiel,2,3
2020,11,FC St. Pauli,Erzgebirge Aue,2,2
2020,11,Karlsruher SC,Fortuna Düsseldorf,1,2
2020,11,1. FC Nürnberg,Würzburger Kickers,2,1
2020,11,Eintracht Braunschweig,VfL Osnabrück,0,2
2020,12,1. FC Heidenheim 1846,Jahn Regensburg,0,0
2020,12,Hamburger SV,SV Sandhausen,4,0
2020,12,Hannover 96,VfL Bochum,2,0
2020,12,SpVgg Greuther Fürth,SV Darmstadt 98,0,4
2020,12,Fortuna Düsseldorf,VfL Osnabrück,3,0
2020,12,SC Paderborn 07,Eintracht Braunschweig,2,2
2020,12,Holstein Kiel,1. FC Nürnberg,1,0
2020,12,Erzgebirge Aue,Karlsruher SC,4,1
2020,12,Würzburger Kickers,FC St. Pauli,1,1
2020,13,VfL Bochum,1. FC Heidenheim 1846,3,0
2020,13,Jahn Regensburg,Hannover 96,0,0
2020,13,SV Darmstadt 98,Würzburger Kickers,2,0
2020,13,VfL Osnabrück,SC Paderborn 07,0,1
2020,13,Eintracht Braunschweig,SpVgg Greuther Fürth,0,3
2020,13,SV Sandhausen,Holstein Kiel,0,2
2020,13,FC St. Pauli,Fortuna Düsseldorf,0,3
2020,13,1. FC Nürnberg,Erzgebirge Aue,1,0
2020,13,Karlsruher SC,Hamburger SV,1,2
2020,14,1. FC Heidenheim 1846,1. FC Nürnberg,2,0
2020,14,VfL Bochum,SV Darmstadt 98,2,1
2020,14,Würzburger Kickers,Karlsruher SC,2,4
2020,14,Hamburger SV,Jahn Regensburg,3,1
2020,14,Hannover 96,SV Sandhausen,4,0
2020,14,Erzgebirge Aue,Eintracht Braunschweig,3,1
2020,14,SpVgg Greuther Fürth,FC St. Pauli,2,1
2020,14,Holstein Kiel,VfL Osnabrück,1,2
2020,14,Fortuna Düsseldorf,SC Paderborn 07,2,1
2020,15,SV Sandhausen,1. FC Heidenheim 1846,4,0
2020,15,Karlsruher SC,SpVgg Greuther Fürth,3,2
2020,15,VfL Osnabrück,Würzburger Kickers,2,3
