season,matchday,home,away,goals_home,goals_away
2007,1,Alemannia Aachen,FC Carl Zeiss Jena,2,2
2007,1,FC St. Pauli,1. FC Köln,0,2
2007,1,VfL Osnabrück,SC Freiburg,2,1
2007,1,1. FSV Mainz 05,TuS Koblenz,4,1
2007,1,FC Augsburg,TSV 1860 München,2,6
2007,1,Erzgebirge Aue,SpVgg Greuther Fürth,1,1
2007,1,SC Paderborn 07,Kickers Offenbach,0,2
2007,1,1899 Hoffenheim,SV Wehen Wiesbaden,2,3
2007,1,1. FC Kaiserslautern,Bor. Mönchengladbach,1,1
2007,2,SC Freiburg,SC Paderborn 07,1,0
2007,2,TuS Koblenz,FC Augsburg,2,1
2007,2,SV Wehen Wiesbaden,VfL Osnabrück,1,1
2007,2,Bor. Mönchengladbach,1899 Hoffenheim,0,0
2007,2,SpVgg Greuther Fürth,1. FSV Mainz 05,3,0
2007,2,TSV 1860 München,1. FC Kaiserslautern,3,1
2007,2,FC Carl Zeiss Jena,FC St. Pauli,0,1
2007,2,Kickers Offenbach,Erzgebirge Aue,3,2
2007,2,1. FC Köln,Alemannia Aachen,0,1
2007,3,1. FSV Mainz 05,Bor. Mönchengladbach,4,1
2007,3,1. FC Köln,FC Carl Zeiss Jena,4,3
2007,3,VfL Osnabrück,SC Paderborn 07,0,0
2007,3,Alemannia Aachen,Kickers Offenbach,4,0
2007,3,1. FC Kaiserslautern,SpVgg Greuther Fürth,0,1
2007,3,Erzgebirge Aue,SV Wehen Wiesbaden,3,0
2007,3,1899 Hoffenheim,TSV 1860 München,0,3
2007,3,FC St. Pauli,TuS Koblenz,1,0
2007,3,FC Augsburg,SC Freiburg,1,1
2007,4,TSV 1860 München,1. FC Köln,1,1
2007,4,TuS Koblenz,1. FC Kaiserslautern,2,2
2007,4,Kickers Offenbach,FC Augsburg,1,0
2007,4,Bor. Mönchengladbach,VfL Osnabrück,2,1
2007,4,SpVgg Greuther Fürth,FC St. Pauli,2,1
2007,4,SC Paderborn 07,Erzgebirge Aue,0,1
2007,4,FC Carl Zeiss Jena,1. FSV Mainz 05,1,2
2007,4,SV Wehen Wiesbaden,Alemannia Aachen,3,0
2007,4,SC Freiburg,1899 Hoffenheim,3,2
2007,5,1. FC Kaiserslautern,SC Paderborn 07,0,0
2007,5,FC Carl Zeiss Jena,TuS Koblenz,1,2
2007,5,FC St. Pauli,Kickers Offenbach,3,1
2007,5,1. FSV Mainz 05,SC Freiburg,1,1
2007,5,Alemannia Aachen,TSV 1860 München,0,0
2007,5,FC Augsburg,SV Wehen Wiesbaden,5,1
2007,5,1. FC Köln,SpVgg Greuther Fürth,0,0
2007,5,1899 Hoffenheim,VfL Osnabrück,3,1
2007,5,Erzgebirge Aue,Bor. Mönchengladbach,2,3
2007,6,Bor. Mönchengladbach,FC Augsburg,4,2
2007,6,SpVgg Greuther Fürth,Alemannia Aachen,2,0
2007,6,TSV 1860 München,FC St. Pauli,2,1
2007,6,SC Paderborn 07,1899 Hoffenheim,0,2
2007,6,VfL Osnabrück,Erzgebirge Aue,2,1
2007,6,SC Freiburg,1. FC Kaiserslautern,1,0
2007,6,TuS Koblenz,1. FC Köln,1,2
2007,6,Kickers Offenbach,1. FSV Mainz 05,2,0
2007,6,SV Wehen Wiesbaden,FC Carl Zeiss Jena,5,1
2007,7,Alemannia Aachen,SC Paderborn 07,3,1
2007,7,FC Augsburg,VfL Osnabrück,2,0
2007,7,Erzgebirge Aue,1899 Hoffenheim,2,2
