strategy,season,rounds,points,mean,maximum,mean_changes,mean_expected_cost,better,equal,worse,at_least_18,at_least_20,at_least_22,at_least_24
hybrid_120,2012,34,401,11.794117647058824,18,1.6176470588235294,0.5212101787512838,11,9,14,2,0,0,0
hybrid_120,2013,34,399,11.735294117647058,21,1.2941176470588236,0.44252591110481126,7,10,17,3,3,0,0
hybrid_120,2014,34,381,11.205882352941176,20,1.5588235294117647,0.5638372748309125,9,9,16,2,1,0,0
hybrid_120,2015,34,374,11.0,18,1.4705882352941178,0.5632631067588596,10,5,19,2,0,0,0
hybrid_120,2016,34,397,11.676470588235293,19,1.3823529411764706,0.4280614098252891,12,12,10,4,0,0,0
hybrid_120,2017,34,386,11.352941176470589,19,1.3823529411764706,0.47264163182815083,4,12,18,3,0,0,0
hybrid_120,2018,34,377,11.088235294117647,22,1.1470588235294117,0.4124149524994117,9,11,14,2,1,1,0
hybrid_120,2019,34,373,10.970588235294118,22,1.3529411764705883,0.4961658766499037,9,11,14,2,1,1,0
hybrid_120,2020,34,372,10.941176470588236,19,1.2058823529411764,0.336222414054839,8,12,14,1,0,0,0
hybrid_120,2021,34,368,10.823529411764707,18,1.411764705882353,0.4977444948418867,10,10,14,1,0,0,0
hybrid_120,2022,34,402,11.823529411764707,20,1.2058823529411764,0.3622613809079182,14,11,9,3,1,0,0
hybrid_120,2023,34,411,12.088235294117647,21,1.2058823529411764,0.46417288489428093,9,11,14,3,2,0,0
hybrid_120,2024,34,386,11.352941176470589,21,1.411764705882353,0.45852280116822713,9,7,18,4,1,0,0
hybrid_120,2025,34,425,12.5,21,1.1764705882352942,0.4230097667490907,8,17,9,5,3,0,0
hybrid_270,2011,34,381,11.205882352941176,18,0.8529411764705882,0.2692398031308419,6,19,9,1,0,0,0
hybrid_270,2012,34,404,11.882352941176471,20,1.3235294117647058,0.5218140338184902,10,14,10,2,1,0,0
hybrid_270,2013,34,405,11.911764705882353,21,1.1764705882352942,0.47029614420277716,7,11,16,3,2,0,0
hybrid_270,2014,34,380,11.176470588235293,20,1.3823529411764706,0.47450039874522304,9,11,14,1,1,0,0
hybrid_270,2015,34,388,11.411764705882353,18,1.411764705882353,0.5259358578416241,11,7,16,3,0,0,0
hybrid_270,2016,34,404,11.882352941176471,20,1.088235294117647,0.37004482657127297,11,15,8,3,1,0,0
hybrid_270,2017,34,407,11.970588235294118,19,0.8529411764705882,0.31548827926820106,4,21,9,3,0,0,0
hybrid_270,2018,34,379,11.147058823529411,18,0.7647058823529411,0.2610673566033311,5,18,11,4,0,0,0
hybrid_270,2019,34,399,11.735294117647058,22,0.7352941176470589,0.25875995072731606,8,20,6,1,1,1,0
hybrid_270,2020,34,369,10.852941176470589,19,0.8529411764705882,0.23593835647465172,5,17,12,1,0,0,0
hybrid_270,2021,34,369,10.852941176470589,18,1.2352941176470589,0.5302928263103817,12,6,16,2,0,0,0
hybrid_270,2022,34,398,11.705882352941176,20,0.7941176470588235,0.30561532349963116,10,15,9,2,1,0,0
hybrid_270,2023,34,384,11.294117647058824,23,0.8823529411764706,0.350298229403343,3,14,17,2,2,1,0
hybrid_270,2024,34,369,10.852941176470589,21,1.2647058823529411,0.4130937377893526,4,11,19,4,1,0,0
hybrid_270,2025,34,403,11.852941176470589,20,1.1764705882352942,0.4221489686470307,5,14,15,4,1,0,0
hybrid_420,2011,34,379,11.147058823529411,18,0.9117647058823529,0.31990685769631544,5,20,9,1,0,0,0
hybrid_420,2012,34,428,12.588235294117647,20,1.088235294117647,0.426416362570352,12,15,7,3,1,0,0
hybrid_420,2013,34,410,12.058823529411764,22,1.1470588235294117,0.42336130832308616,7,12,15,4,2,1,0
hybrid_420,2014,34,389,11.441176470588236,20,1.2647058823529411,0.4735003479899319,9,11,14,1,1,0,0
hybrid_420,2015,34,381,11.205882352941176,18,1.3823529411764706,0.552757174593784,9,7,18,3,0,0,0
hybrid_420,2016,34,391,11.5,20,1.1764705882352942,0.40076290640806084,10,12,12,1,1,0,0
hybrid_420,2017,34,402,11.823529411764707,18,0.7058823529411765,0.2681325089578945,6,17,11,2,0,0,0
hybrid_420,2018,34,402,11.823529411764707,19,0.4117647058823529,0.13623823253584544,7,23,4,5,0,0,0
hybrid_420,2019,34,408,12.0,22,0.6176470588235294,0.21643303006455594,8,21,5,2,1,1,0
hybrid_420,2020,34,353,10.382352941176471,17,0.9411764705882353,0.2978799752150763,6,11,17,0,0,0,0
hybrid_420,2021,34,360,10.588235294117647,18,1.0588235294117647,0.4705688557637105,8,11,15,1,0,0,0
hybrid_420,2022,34,394,11.588235294117647,20,0.7352941176470589,0.31312100303975576,9,15,10,3,1,0,0
hybrid_420,2023,34,389,11.441176470588236,23,0.9411764705882353,0.37966102641842736,5,13,16,2,2,1,0
hybrid_420,2024,34,376,11.058823529411764,21,1.2647058823529411,0.4090299395716726,6,9,19,5,1,0,0
hybrid_420,2025,34,403,11.852941176470589,20,1.2058823529411764,0.46288131664882426,6,13,15,3,1,0,0
hybrid_90,2011,34,356,10.470588235294118,19,1.411764705882353,0.4780104450375384,9,8,17,1,0,0,0
hybrid_90,2012,34,397,11.676470588235293,18,1.6764705882352942,0.49858094756545307,9,9,16,2,0,0,0
hybrid_90,2013,34,386,11.352941176470589,21,1.3529411764705883,0.4646479854865485,5,12,17,2,2,0,0
hybrid_90,2014,34,383,11.264705882352942,20,1.5,0.5398402339014028,8,10,16,2,1,0,0
hybrid_90,2015,34,364,10.705882352941176,18,1.5588235294117647,0.5873752762650857,9,6,19,2,0,0,0
hybrid_90,2016,34,413,12.147058823529411,21,1.6176470588235294,0.4951109384631684,14,10,10,5,1,0,0
hybrid_90,2017,34,375,11.029411764705882,19,1.5294117647058822,0.48026723458326837,4,12,18,2,0,0,0
hybrid_90,2018,34,376,11.058823529411764,22,1.2941176470588236,0.46272989388283214,9,10,15,2,1,1,0
hybrid_90,2019,34,383,11.264705882352942,20,1.411764705882353,0.47917857268525665,11,9,14,2,1,0,0
hybrid_90,2020,34,360,10.588235294117647,19,1.2941176470588236,0.4299981188959223,8,10,16,1,0,0,0
hybrid_90,2021,34,389,11.441176470588236,24,1.4705882352941178,0.4852154825806937,14,8,12,2,1,1,1
hybrid_90,2022,34,386,11.352941176470589,19,1.4411764705882353,0.3970211395962548,12,6,16,2,0,0,0
hybrid_90,2023,34,437,12.852941176470589,23,1.3529411764705883,0.44649322801360203,13,10,11,4,2,1,0
hybrid_90,2024,34,392,11.529411764705882,23,1.5294117647058822,0.4873197764279049,12,5,17,4,2,1,0
hybrid_90,2025,34,430,12.647058823529411,21,1.1176470588235294,0.39555365556718075,9,17,8,5,3,0,0
