strategy,season,matchday,points,baseline_points,changes,expected_cost,added_draws,games,better,equal,worse
baseline,2013,34,23,23,0,0.0,0.0,9,False,True,False
baseline,2014,1,11,11,0,0.0,0.0,9,False,True,False
baseline,2014,2,5,5,0,0.0,0.0,9,False,True,False
baseline,2014,3,9,9,0,0.0,0.0,9,False,True,False
baseline,2014,4,2,2,0,0.0,0.0,9,False,True,False
baseline,2014,5,14,14,0,0.0,0.0,9,False,True,False
baseline,2014,6,16,16,0,0.0,0.0,9,False,True,False
baseline,2014,7,15,15,0,0.0,0.0,9,False,True,False
baseline,2014,8,15,15,0,0.0,0.0,9,False,True,False
baseline,2014,9,15,15,0,0.0,0.0,9,False,True,False
baseline,2014,10,13,13,0,0.0,0.0,9,False,True,False
baseline,2014,11,11,11,0,0.0,0.0,9,False,True,False
baseline,2014,12,6,6,0,0.0,0.0,9,False,True,False
baseline,2014,13,16,16,0,0.0,0.0,9,False,True,False
baseline,2014,14,18,18,0,0.0,0.0,9,False,True,False
baseline,2014,15,5,5,0,0.0,0.0,9,False,True,False
baseline,2014,16,13,13,0,0.0,0.0,9,False,True,False
baseline,2014,17,9,9,0,0.0,0.0,9,False,True,False
baseline,2014,18,12,12,0,0.0,0.0,9,False,True,False
baseline,2014,19,8,8,0,0.0,0.0,9,False,True,False
baseline,2014,20,11,11,0,0.0,0.0,9,False,True,False
baseline,2014,21,18,18,0,0.0,0.0,9,False,True,False
baseline,2014,22,9,9,0,0.0,0.0,9,False,True,False
baseline,2014,23,18,18,0,0.0,0.0,9,False,True,False
baseline,2014,24,9,9,0,0.0,0.0,9,False,True,False
baseline,2014,25,15,15,0,0.0,0.0,9,False,True,False
baseline,2014,26,8,8,0,0.0,0.0,9,False,True,False
baseline,2014,27,9,9,0,0.0,0.0,9,False,True,False
baseline,2014,28,15,15,0,0.0,0.0,9,False,True,False
baseline,2014,29,20,20,0,0.0,0.0,9,False,True,False
baseline,2014,30,12,12,0,0.0,0.0,9,False,True,False
baseline,2014,31,11,11,0,0.0,0.0,9,False,True,False
baseline,2014,32,10,10,0,0.0,0.0,9,False,True,False
baseline,2014,33,16,16,0,0.0,0.0,9,False,True,False
baseline,2014,34,20,20,0,0.0,0.0,9,False,True,False
baseline,2015,1,14,14,0,0.0,0.0,9,False,True,False
baseline,2015,2,7,7,0,0.0,0.0,9,False,True,False
baseline,2015,3,12,12,0,0.0,0.0,9,False,True,False
baseline,2015,4,12,12,0,0.0,0.0,9,False,True,False
baseline,2015,5,14,14,0,0.0,0.0,9,False,True,False
baseline,2015,6,13,13,0,0.0,0.0,9,False,True,False
baseline,2015,7,8,8,0,0.0,0.0,9,False,True,False
baseline,2015,8,9,9,0,0.0,0.0,9,False,True,False
baseline,2015,9,13,13,0,0.0,0.0,9,False,True,False
baseline,2015,10,12,12,0,0.0,0.0,9,False,True,False
baseline,2015,11,6,6,0,0.0,0.0,9,False,True,False
baseline,2015,12,5,5,0,0.0,0.0,9,False,True,False
baseline,2015,13,15,15,0,0.0,0.0,9,False,True,False
baseline,2015,14,12,12,0,0.0,0.0,9,False,True,False
baseline,2015,15,6,6,0,0.0,0.0,9,False,True,False
baseline,2015,16,13,13,0,0.0,0.0,9,False,True,False
baseline,2015,17,18,18,0,0.0,0.0,9,False,True,False
baseline,2015,18,8,8,0,0.0,0.0,9,False,True,False
baseline,2015,19,15,15,0,0.0,0.0,9,False,True,False
baseline,2015,20,9,9,0,0.0,0.0,9,False,True,False
baseline,2015,21,13,13,0,0.0,0.0,9,False,True,False
baseline,2015,22,19,19,0,0.0,0.0,9,False,True,False
baseline,2015,23,5,5,0,0.0,0.0,9,False,True,False
baseline,2015,24,15,15,0,0.0,0.0,9,False,True,False
baseline,2015,25,8,8,0,0.0,0.0,9,False,True,False
baseline,2015,26,14,14,0,0.0,0.0,9,False,True,False
baseline,2015,27,16,16,0,0.0,0.0,9,False,True,False
baseline,2015,28,14,14,0,0.0,0.0,9,False,True,False
baseline,2015,29,5,5,0,0.0,0.0,9,False,True,False
baseline,2015,30,18,18,0,0.0,0.0,9,False,True,False
baseline,2015,31,17,17,0,0.0,0.0,9,False,True,False
baseline,2015,32,12,12,0,0.0,0.0,9,False,True,False
baseline,2015,33,7,7,0,0.0,0.0,9,False,True,False
baseline,2015,34,14,14,0,0.0,0.0,9,False,True,False
baseline,2016,1,16,16,0,0.0,0.0,9,False,True,False
baseline,2016,2,4,4,0,0.0,0.0,9,False,True,False
baseline,2016,3,11,11,0,0.0,0.0,9,False,True,False
baseline,2016,4,11,11,0,0.0,0.0,9,False,True,False
baseline,2016,5,14,14,0,0.0,0.0,9,False,True,False
baseline,2016,6,10,10,0,0.0,0.0,9,False,True,False
baseline,2016,7,10,10,0,0.0,0.0,9,False,True,False
baseline,2016,8,15,15,0,0.0,0.0,9,False,True,False
baseline,2016,9,16,16,0,0.0,0.0,9,False,True,False
baseline,2016,10,10,10,0,0.0,0.0,9,False,True,False
baseline,2016,11,13,13,0,0.0,0.0,9,False,True,False
