matchday,match_date,home_team,away_team,tipp,tip_home,tip_away,prob_home,prob_draw,prob_away,lambda_home,lambda_away,book_prob_home,book_prob_draw,book_prob_away
5,2026-10-09 18:30:00,Borussia Dortmund,SV Werder Bremen,2:0,2,0,0.7745238155377079,0.1497240325856932,0.0757521518765988,2.6830130806620125,0.7607662790969636,0.6724507412525508,0.1813016645776092,0.14624759416984
5,2026-10-10 13:30:00,1. FC Union Berlin,SV 07 Elversberg,1:0,1,0,0.5039047135127248,0.2937037436865765,0.2023915428006987,1.4073808569098525,0.7974014352607247,0.4402787403873016,0.2534632803743192,0.306257979238379
5,2026-10-10 13:30:00,TSG 1899 Hoffenheim,Hamburger SV,2:1,2,1,0.6672137520445094,0.1941175034116583,0.1386687445438321,2.3525158554061236,1.0033833263794598,0.7003619411313785,0.1754253907272903,0.1242126681413312
5,2026-10-10 13:30:00,1. FSV Mainz 05,Bayer 04 Leverkusen,1:2,1,2,0.2688722254585648,0.2543467061324567,0.4767810684089784,1.2541832216850766,1.729961352360335,0.3469021093265678,0.2512175013320113,0.4018803893414209
5,2026-10-10 13:30:00,FC Augsburg,Bayern München,1:3,1,3,0.0913256325934922,0.1406470131541289,0.768027354252379,1.0188592312666176,3.008782309246502,0.1050910020612522,0.1275464767980895,0.7673625211406582
5,2026-10-10 13:30:00,SC Paderborn 07,Stuttgart,0:1,0,1,0.0281178932477898,0.1795699985412552,0.792312108210955,0.1987436026871553,1.9101619135651824,0.2100415656364992,0.2134543105762093,0.5765041237872914
5,2026-10-10 16:30:00,RB Leipzig,Eintracht Frankfurt,2:1,2,1,0.6147678193692068,0.1950844724474271,0.1901477081833662,2.484611059230285,1.3582484144583196,0.6127749972337188,0.197002830299162,0.1902221724671193
5,2026-10-11 13:30:00,1. FC Köln,Borussia Mönchengladbach,2:1,2,1,0.4168851827631621,0.2573226031909073,0.3257922140459307,1.6293930161498558,1.4203955836497917,0.5088421195656446,0.2373354043386972,0.2538224760956582
5,2026-10-11 15:30:00,SC Freiburg,FC Schalke 04,1:0,1,0,0.7150658225034114,0.2122703084077015,0.072663869088887,1.8769868850813485,0.4455396729019262,0.5894154623645937,0.2206294636550667,0.1899550739803394
6,2026-10-16 18:30:00,Eintracht Frankfurt,1. FC Köln,2:1,2,1,0.5998259680547271,0.2025430603687015,0.1976309715765714,2.3795810681355034,1.334430406953809,,,
6,2026-10-17 13:30:00,SV Werder Bremen,SC Paderborn 07,1:0,1,0,0.6941017263477416,0.2646177462264419,0.0412805274258165,1.4249619327957923,0.1831539725528378,,,
6,2026-10-17 13:30:00,SV 07 Elversberg,FC Augsburg,0:1,0,1,0.2287026448849336,0.2974226558742905,0.4738746992407758,0.8726033954245442,1.3691368185280195,,,
6,2026-10-17 13:30:00,FC Schalke 04,1. FSV Mainz 05,0:1,0,1,0.1453689759298079,0.31656492179155,0.5380661022786419,0.5245918755071881,1.26111105514077,,,
6,2026-10-17 13:30:00,Hamburger SV,Stuttgart,1:2,1,2,0.1672373107010451,0.2119770554483925,0.6207856338505622,1.0664422756516916,2.1862131567408176,,,
6,2026-10-17 13:30:00,1. FC Union Berlin,Borussia Dortmund,1:2,1,2,0.1269337459766115,0.1951174367515972,0.6779488172717912,0.9096691875270764,2.294797748947705,,,
6,2026-10-17 16:30:00,Bayern München,RB Leipzig,3:1,3,1,0.7715575073755887,0.1338936326887037,0.0945488599357076,3.197546395681734,1.1336383178597955,,,
6,2026-10-18 13:30:00,Bayer 04 Leverkusen,SC Freiburg,2:1,2,1,0.6045070471372715,0.2088722693118356,0.1866206835508929,2.266346600253062,1.210162763114098,,,
6,2026-10-18 15:30:00,Borussia Mönchengladbach,TSG 1899 Hoffenheim,1:2,1,2,0.3417961180666192,0.2431344068231587,0.4150694751102218,1.5919364586627955,1.767455819595663,,,
