policy,form,book_weight,season,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
fixed_120,legacy,0.5,2013,306,3.0962135513213718,0.9481125563782915,0.5602736648249216,415,34,12.205882352941176,23,4,2,2,0
fixed_120,legacy,0.5,2014,306,3.005846521240173,1.016221462941841,0.6070398665515211,412,34,12.117647058823529,20,3,1,0,0
fixed_120,legacy,0.5,2015,306,2.9961318300784194,0.9914083782366208,0.5909483000310243,407,34,11.970588235294118,18,2,0,0,0
fixed_120,legacy,0.5,2016,306,3.001742968902698,0.9951928905552279,0.5965897978090712,426,34,12.529411764705882,23,4,3,1,0
fixed_120,legacy,0.5,2017,306,2.9361820238601375,1.00895264915772,0.6039263533673384,397,34,11.676470588235293,18,1,0,0,0
fixed_120,legacy,0.5,2018,306,3.1585306338417833,0.9771509328138782,0.5805179009166023,406,34,11.941176470588236,26,1,1,1,1
fixed_120,legacy,0.5,2019,306,3.1590855540449057,0.9821979759674052,0.5853605939171453,390,34,11.470588235294118,18,2,0,0,0
fixed_120,legacy,0.5,2020,306,2.992565683609666,1.0037507771693839,0.5980424115816393,396,34,11.647058823529411,19,2,0,0,0
fixed_120,legacy,0.5,2021,306,3.0711799206566197,0.9995585019381723,0.5940313884230085,400,34,11.764705882352942,20,1,1,0,0
fixed_120,legacy,0.5,2022,306,3.1679114904390637,1.0075278311143827,0.6027148377460385,400,34,11.764705882352942,22,4,1,1,0
fixed_120,legacy,0.5,2023,306,3.065333168734999,0.9507119546101425,0.5652117106028438,422,34,12.411764705882353,22,3,2,1,0
fixed_120,legacy,0.5,2024,306,3.127120356357098,1.011763055492431,0.6049262462902923,395,34,11.617647058823529,22,3,2,2,0
fixed_120,legacy,0.5,2025,306,3.1223271763405385,0.9665329568178319,0.5710154141792276,432,34,12.705882352941176,22,6,4,1,0
fixed_120,legacy,1.0,2011,306,2.9797457583627125,0.9989734598913105,0.5959112968360006,394,34,11.588235294117647,18,1,0,0,0
fixed_120,legacy,1.0,2012,306,3.0439412904707948,0.9892749203902308,0.5890123377315373,410,34,12.058823529411764,21,2,2,0,0
fixed_120,legacy,1.0,2013,306,3.0890714412020084,0.9409704462589283,0.5561572051027784,421,34,12.382352941176471,23,3,2,1,0
fixed_120,legacy,1.0,2014,306,2.991494437206015,1.0018693789076831,0.59854510379583,412,34,12.117647058823529,19,5,0,0,0
fixed_120,legacy,1.0,2015,306,2.9812857731003293,0.9765623212585306,0.5807441494101531,400,34,11.764705882352942,18,1,0,0,0
fixed_120,legacy,1.0,2016,306,3.0025031023434146,0.9959530239959442,0.5975189531288768,414,34,12.176470588235293,20,2,2,0,0
fixed_120,legacy,1.0,2017,306,2.9231164609190463,0.995887086216629,0.5952808362730977,417,34,12.264705882352942,22,3,1,1,0
fixed_120,legacy,1.0,2018,306,3.14512658377222,0.9637468827443155,0.5716778227340811,417,34,12.264705882352942,23,5,2,1,0
fixed_120,legacy,1.0,2019,306,3.1449936615562955,0.968106083478795,0.5759938269173964,402,34,11.823529411764707,18,2,0,0,0
fixed_120,legacy,1.0,2020,306,2.977054292762431,0.9882393863221488,0.5876245188433886,389,34,11.441176470588236,17,0,0,0,0
fixed_120,legacy,1.0,2021,306,3.0604510076389997,0.9888295889205518,0.5875610071184394,377,34,11.088235294117647,16,0,0,0,0
fixed_120,legacy,1.0,2022,306,3.1563255364598457,0.9959418771351647,0.5944976890319831,393,34,11.558823529411764,22,5,2,1,0
fixed_120,legacy,1.0,2023,306,3.0607528776472135,0.9461316635223567,0.5595735369335713,424,34,12.470588235294118,21,4,1,0,0
fixed_120,legacy,1.0,2024,306,3.105386159442857,0.9900288585781899,0.5912994385243137,406,34,11.941176470588236,22,4,2,2,0
fixed_120,legacy,1.0,2025,306,3.1079207615679034,0.9521265420451972,0.5622898490664443,431,34,12.676470588235293,22,5,4,1,0
fixed_120,none,0.0,2011,306,2.9781091246913736,0.9971829605049496,0.5961711698043394,404,34,11.882352941176471,19,3,0,0,0
fixed_120,none,0.0,2012,306,3.0504406697784803,0.9981171913886502,0.594210920220226,400,34,11.764705882352942,24,1,1,1,1
fixed_120,none,0.0,2013,306,3.108784672195894,0.9650743607397917,0.5704442714496386,409,34,12.029411764705882,23,5,2,1,0
fixed_120,none,0.0,2014,306,3.0335009465922758,1.0447165792705848,0.6212605043708356,391,34,11.5,19,2,0,0,0
fixed_120,none,0.0,2015,306,3.0149763413716597,1.0131496037948768,0.6046845317674715,370,34,10.882352941176471,18,1,0,0,0
fixed_120,none,0.0,2016,306,3.007882412595888,1.0010186127983558,0.5991009183682293,416,34,12.235294117647058,21,5,2,0,0
fixed_120,none,0.0,2017,306,2.9537498075931974,1.0285623220834583,0.6162767740036699,389,34,11.441176470588236,18,4,0,0,0
fixed_120,none,0.0,2018,306,3.1779916682005753,0.999025560026744,0.5940830620408829,406,34,11.941176470588236,24,1,1,1,1
fixed_120,none,0.0,2019,306,3.1813266636342363,1.005161028119778,0.6003460683230899,385,34,11.323529411764707,19,2,0,0,0
fixed_120,none,0.0,2020,306,3.0186071248698885,1.0299395950557722,0.613432556117151,378,34,11.117647058823529,19,1,0,0,0
fixed_120,none,0.0,2021,306,3.0849354635087702,1.0149809949751187,0.6025794801744164,418,34,12.294117647058824,19,3,0,0,0
fixed_120,none,0.0,2022,306,3.1841094208938467,1.0262197035518208,0.614892252392076,382,34,11.235294117647058,19,2,0,0,0
fixed_120,none,0.0,2023,306,3.0777816791341968,0.9663118239953911,0.5778344305875159,423,34,12.441176470588236,22,4,2,1,0
fixed_120,none,0.0,2024,306,3.155363830123471,1.0415353597950883,0.6233369969231899,379,34,11.147058823529411,25,2,2,1,1
fixed_120,none,0.0,2025,306,3.1422500764440575,0.9901255465104478,0.5841929562506193,432,34,12.705882352941176,22,7,3,1,0
fixed_120,none,0.5,2011,306,2.9741196746365812,0.9931935104501575,0.5928054261205514,395,34,11.617647058823529,19,4,0,0,0
fixed_120,none,0.5,2012,306,3.035564986588812,0.9832415081989812,0.5842952826542214,416,34,12.235294117647058,24,3,1,1,1
fixed_120,none,0.5,2013,306,3.092312751118783,0.9486024396626803,0.5608574679971772,415,34,12.205882352941176,23,4,2,2,0
fixed_120,none,0.5,2014,306,3.0033664589628675,1.014582091641176,0.6057851165074587,418,34,12.294117647058824,20,3,1,0,0
fixed_120,none,0.5,2015,306,2.990914793251702,0.9890880556749195,0.5893191731890959,399,34,11.735294117647058,18,2,0,0,0
fixed_120,none,0.5,2016,306,3.0004241399536253,0.9935603401560927,0.5955185733556217,418,34,12.294117647058824,21,4,3,0,0
fixed_120,none,0.5,2017,306,2.932991932201991,1.007804446692252,0.6030135943891051,405,34,11.911764705882353,18,1,0,0,0
fixed_120,none,0.5,2018,306,3.154967568212028,0.9760014600381968,0.5799464424544858,403,34,11.852941176470589,24,1,1,1,1
