policy,form,book_weight,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
fixed_120,legacy,0.0,4590,3.084202544347223,1.0124340360281494,0.6030772553055196,5949,510,11.66470588235294,26,43,14,7,3
fixed_120,legacy,0.5,4590,3.060932542123953,0.989164033804879,0.5892561129496067,6115,510,11.990196078431373,26,41,18,10,2
fixed_120,legacy,1.0,4590,3.0512779429634724,0.9795094346443984,0.5829125047631928,6107,510,11.974509803921569,23,42,18,7,0
fixed_120,none,0.0,4590,3.0779873267751876,1.0080747495073885,0.6008564595195568,5982,510,11.729411764705882,25,43,13,6,3
fixed_120,none,0.5,4590,3.0578767602825847,0.9879641830147855,0.5885604598079197,6121,510,12.001960784313725,24,41,19,11,3
fixed_120,none,1.0,4590,3.0494704952887743,0.9795579180209756,0.5829410683656437,6109,510,11.97843137254902,23,44,19,6,0
fixed_120,residual_005,0.0,4590,3.079726124593181,1.0092814458890138,0.6015752911055717,5964,510,11.694117647058823,26,42,14,6,3
fixed_120,residual_005,0.5,4590,3.058740227884517,0.9882955491803495,0.5887661939152328,6129,510,12.01764705882353,26,40,19,11,3
fixed_120,residual_005,1.0,4590,3.0499776122919227,0.9795329335877552,0.5829247794373785,6120,510,12.0,23,43,19,7,0
fixed_120,residual_010,0.0,4590,3.081981106006344,1.0108134893149467,0.6024915084321548,5971,510,11.707843137254901,26,42,14,5,2
fixed_120,residual_010,0.5,4590,3.0598803159444117,0.9887126992530145,0.5890281972212892,6126,510,12.011764705882353,26,40,20,8,2
fixed_120,residual_010,1.0,4590,3.050676685594454,0.9795090689030569,0.5829093512931677,6130,510,12.019607843137255,23,43,20,7,0
fixed_120,residual_020,0.0,4590,3.0880461264003363,1.0148544152599945,0.6049023518524854,5949,510,11.66470588235294,26,41,14,6,2
fixed_120,residual_020,0.5,4590,3.0629983865385815,0.9898066753982394,0.5897212342219152,6119,510,11.998039215686275,26,46,21,7,3
fixed_120,residual_020,1.0,4590,3.052656366882303,0.9794646557419611,0.5828810644930972,6148,510,12.054901960784314,23,44,21,7,0
fixed_180,legacy,0.0,4590,3.06097764633999,1.003166727365386,0.5977019026401538,5929,510,11.625490196078431,25,35,14,4,2
fixed_180,legacy,0.5,4590,3.0443585180219235,0.9865475990473199,0.5875662812848735,6073,510,11.907843137254902,25,35,17,7,2
fixed_180,legacy,1.0,4590,3.0373496797208714,0.9795387607462677,0.5829250366940087,6094,510,11.949019607843137,23,38,17,6,0
fixed_180,none,0.0,4590,3.0569587904749693,1.0002426134164337,0.5962012717295526,5964,510,11.694117647058823,25,39,13,6,2
fixed_180,none,0.5,4590,3.042467534679567,0.9857513576210318,0.5871070070570561,6081,510,11.923529411764706,25,42,16,8,2
fixed_180,none,1.0,4590,3.036311113626803,0.9795949365682677,0.5829594175263799,6100,510,11.96078431372549,23,45,17,7,0
fixed_180,residual_005,0.0,4590,3.0579114266253815,1.0009042329164652,0.5965961166853416,5975,510,11.715686274509803,25,41,13,6,1
fixed_180,residual_005,0.5,4590,3.042949943443096,0.9859427497341802,0.587221671496587,6106,510,11.972549019607843,25,41,16,9,2
fixed_180,residual_005,1.0,4590,3.036573450564025,0.9795662568551086,0.582940523099764,6106,510,11.972549019607843,23,45,16,7,0
fixed_180,residual_010,0.0,4590,3.059393346852481,1.0019015305258725,0.5972033416021084,5972,510,11.709803921568627,25,45,14,5,2
fixed_180,residual_010,0.5,4590,3.0437132147138657,0.9862213983872573,0.5873942705035144,6116,510,11.992156862745098,25,40,17,9,2
fixed_180,residual_010,1.0,4590,3.0370307121232702,0.9795388957966615,0.5829226649234207,6103,510,11.966666666666667,23,44,17,7,0
fixed_180,residual_020,0.0,4590,3.0639503954509397,1.004903309275751,0.5990435190477136,5989,510,11.74313725490196,27,44,16,6,2
fixed_180,residual_020,0.5,4590,3.0460892408786586,0.9870421547034698,0.5879133366656523,6112,510,11.984313725490196,27,41,19,10,3
fixed_180,residual_020,1.0,4590,3.038535137862828,0.979488051687639,0.5828900144970216,6097,510,11.954901960784314,23,41,19,8,0
fixed_270,legacy,0.0,4590,3.0485770706299564,0.9986694496905562,0.5950138686220406,5957,510,11.680392156862744,25,45,18,11,2
fixed_270,legacy,0.5,4590,3.0352306808385747,0.9853230598991741,0.5867783634517194,6072,510,11.905882352941177,25,48,13,7,1
fixed_270,legacy,1.0,4590,3.0294676950766943,0.9795600741372938,0.5829360634901883,6098,510,11.95686274509804,23,46,16,7,0
fixed_270,none,0.0,4590,3.0463318234803785,0.9969173701625899,0.5941574448944653,5977,510,11.719607843137254,25,49,17,7,2
fixed_270,none,0.5,4590,3.0342600896222938,0.9848456363045053,0.5865094271825179,6105,510,11.970588235294118,25,49,14,4,1
fixed_270,none,1.0,4590,3.029037162889752,0.9796227095719633,0.582975371916034,6097,510,11.954901960784314,23,48,18,4,0
fixed_270,residual_005,0.0,4590,3.046628785693985,0.9971148067448358,0.594259788160223,5992,510,11.749019607843136,25,45,16,9,2
fixed_270,residual_005,0.5,4590,3.034430593188803,0.9849166142396534,0.5865452446516275,6096,510,11.952941176470588,25,48,14,5,1
fixed_270,residual_005,1.0,4590,3.029104180898189,0.9795902019490399,0.5829536020888612,6110,510,11.980392156862745,23,49,18,4,0
fixed_270,residual_010,0.0,4590,3.0474707191310513,0.9976593988938969,0.5945870842997367,5984,510,11.733333333333333,25,45,17,10,2
fixed_270,residual_010,0.5,4590,3.0348884543181724,0.9850771340810184,0.5866409284781164,6099,510,11.958823529411765,25,49,14,7,1
fixed_270,residual_010,1.0,4590,3.0293705097341572,0.979559189497003,0.5829330113473655,6104,510,11.968627450980392,23,49,17,6,0
fixed_270,residual_020,0.0,4590,3.0507940825357642,0.9997895359461091,0.5959072903058557,5981,510,11.727450980392156,24,48,16,11,2
fixed_270,residual_020,0.5,4590,3.036672494224983,0.9856679476353277,0.5870117470521172,6120,510,12.0,24,48,16,9,1
fixed_270,residual_020,1.0,4590,3.0305060854055075,0.9795015388158519,0.5828953068065249,6092,510,11.945098039215686,23,47,16,7,0
fixed_420,legacy,0.0,4590,3.040887377699099,0.996440928352278,0.5936518454990543,5958,510,11.68235294117647,25,41,13,6,1
fixed_420,legacy,0.5,4590,3.029106671237442,0.9846602218906213,0.5863272871443582,6094,510,11.949019607843137,25,49,16,4,1
fixed_420,legacy,1.0,4590,3.024028739884009,0.9795822905371884,0.5829497227543003,6091,510,11.943137254901961,23,50,16,3,0
fixed_420,none,0.0,4590,3.040136568051444,0.9956616976562958,0.5933852737887486,6011,510,11.786274509803922,25,44,15,6,1
fixed_420,none,0.5,4590,3.028913056920863,0.9844381865257142,0.5862180148293697,6116,510,11.992156862745098,25,50,16,4,1
fixed_420,none,1.0,4590,3.024125252894844,0.9796503824996956,0.5829931959365742,6094,510,11.949019607843137,23,49,19,3,0
fixed_420,residual_005,0.0,4590,3.039820533086218,0.995421448960827,0.5931994530182201,5984,510,11.733333333333333,25,45,13,5,1
fixed_420,residual_005,0.5,4590,3.028792033100103,0.9843929489747119,0.5861761078712123,6112,510,11.984313725490196,25,53,15,4,1
fixed_420,residual_005,1.0,4590,3.0240132010975227,0.9796141169721319,0.5829686235034375,6086,510,11.933333333333334,23,50,18,3,0
fixed_420,residual_010,0.0,4590,3.0400672557644577,0.9955408698460365,0.5932503028307055,5957,510,11.680392156862744,25,41,13,5,1
fixed_420,residual_010,0.5,4590,3.0289662737240666,0.9844398878056455,0.586196154799297,6127,510,12.013725490196078,25,51,14,4,1
fixed_420,residual_010,1.0,4590,3.024105901192485,0.9795795152740642,0.5829453514100159,6099,510,11.958823529411765,23,51,18,3,0
fixed_420,residual_020,0.0,4590,3.042253174184957,0.9968575504434787,0.5940550258518307,5929,510,11.625490196078431,25,40,13,6,2
fixed_420,residual_020,0.5,4590,3.0302065749366585,0.9848109511951795,0.5864217663030727,6123,510,12.005882352941176,25,49,14,4,1
fixed_420,residual_020,1.0,4590,3.024910785901619,0.9795151621601399,0.5829026405098727,6086,510,11.933333333333334,23,49,17,3,0
fixed_630,legacy,0.0,4590,3.0379318874707515,0.995511054778127,0.5931785804495208,5974,510,11.713725490196078,25,40,11,5,1
fixed_630,legacy,0.5,4590,3.02668520103261,0.9842643683399851,0.5860934782676759,6105,510,11.970588235294118,25,43,15,4,1
fixed_630,legacy,1.0,4590,3.0220217716752082,0.9796009389825834,0.582962012020982,6088,510,11.937254901960785,23,46,16,3,0
fixed_630,none,0.0,4590,3.038214818306745,0.9954008555280449,0.5933167135786022,5993,510,11.750980392156864,25,40,14,5,1
fixed_630,none,0.5,4590,3.0270285484658292,0.9842145856871286,0.5860894454335507,6106,510,11.972549019607843,25,45,13,3,1
fixed_630,none,1.0,4590,3.0224865391046634,0.9796725763259627,0.5830082286456626,6101,510,11.962745098039216,23,47,17,2,0
fixed_630,residual_005,0.0,4590,3.03743198058001,0.9948217316988299,0.5929044260742875,5974,510,11.713725490196078,25,37,13,5,1
fixed_630,residual_005,0.5,4590,3.0266885934894407,0.9840783446082606,0.5859860941947329,6116,510,11.992156862745098,25,48,15,4,1
fixed_630,residual_005,1.0,4590,3.0222437705572944,0.9796335216761145,0.5829815988089769,6097,510,11.954901960784314,23,44,17,3,0
fixed_630,residual_010,0.0,4590,3.0372267111008675,0.9946128704097937,0.5927378293634604,5972,510,11.709803921568627,25,40,12,5,1
fixed_630,residual_010,0.5,4590,3.026650478610136,0.984036637919062,0.5859465666822427,6107,510,11.974509803921569,25,48,15,4,1
fixed_630,residual_010,1.0,4590,3.022210088890453,0.979596248199379,0.5829563452025217,6084,510,11.929411764705883,23,45,17,3,0
fixed_630,residual_020,0.0,4590,3.0385528933159036,0.9953042710777178,0.5931363720543237,5966,510,11.698039215686274,25,38,14,4,1
fixed_630,residual_020,0.5,4590,3.027485762485579,0.9842371402473934,0.5860584873746099,6108,510,11.976470588235294,25,48,13,4,1
fixed_630,residual_020,1.0,4590,3.0227755071149165,0.9795268848767306,0.5829099010952093,6098,510,11.95686274509804,23,49,16,3,0
fixed_840,legacy,0.0,4590,3.0375984251610624,0.9960754656837492,0.5936088541759645,5963,510,11.692156862745097,25,42,13,6,1
fixed_840,legacy,0.5,4590,3.0260086950510794,0.9844857355737663,0.586250325874401,6094,510,11.949019607843137,25,42,14,4,1
fixed_840,legacy,1.0,4590,3.021134481099923,0.9796115216226097,0.5829691605088532,6109,510,11.97843137254902,23,45,16,3,0
fixed_840,none,0.0,4590,3.0383825596436327,0.9962762627598352,0.5939625352683479,5981,510,11.727450980392156,25,42,15,3,1
fixed_840,none,0.5,4590,3.026618664879672,0.9845123679958744,0.5862983711256239,6096,510,11.952941176470588,25,43,13,3,1
fixed_840,none,1.0,4590,3.021791222996147,0.9796849261123498,0.5830167663116719,6109,510,11.97843137254902,23,49,18,2,0
fixed_840,residual_005,0.0,4590,3.0373452957277682,0.9955164348133548,0.5934257401176897,5964,510,11.694117647058823,25,40,16,5,1
fixed_840,residual_005,0.5,4590,3.0261585996821427,0.9843297387677298,0.5861626661284176,6104,510,11.968627450980392,25,44,13,3,1
fixed_840,residual_005,1.0,4590,3.0214731730039426,0.9796443120895294,0.5829890099255136,6107,510,11.974509803921569,23,47,19,2,0
